SZÉV igény szám,Státusz,Felelős,Igény dátuma,"Á(rajánlat)
R(endelés)",Gépállás,Teljesítés dátuma,Áttárolás / Betárolás száma,Munkaszám,Megrendelő,Géptípus,Beszállító,Igény,Megjegyzés,Mennyiség,Igénylő,
SZÉV2024-199,TRUE,GYE,06.24,,1,,,M11301,HANTECH GÉPGYÁRTÓ ÉS FORGALMAZÓ ZRT.,Pinacho:ST-260/1500,,"""X"" Szíj / 5M/575/30 mm - 10-11009645-00","Csatolt email/fotó/1 db érkezett,2024.06.27.-én",2db,CsZ,
SZÉV2024-200,TRUE,GYE,06.25,,1,2024.09.16.,2024/1057,M13252,BÍRÓ KFT.,TNL-100AHD,,"10-00005491-00,Lábpedál  / 2 lábas (1 lassú,1 normál)IP7018",Csatolt email/fotó,3db,CsZ,
SZÉV2024-201,TRUE,GYE,06.25,,0,2024.07.25.,,M19038,IK METÁL KFT.,KAFO KMC-4122,,"20-00001014-00,Trafó / 400V / 230V / 630VA trafó",Csatolt email,1db,CsZ,
SZÉV2024-202,TRUE,IMP,06.25,,1,2024.07.03.,,M21001,VARRIVÁL KFT.,DUAL-65,,540-5GT 16mm elkapószíj,Gulyás Józsi megvette a Power Belt-től,1db,SL,
SZÉV2024-203,TRUE,GYE,06.25.,,,"2026.03.11.
2026.03.23.
2026.03.24.","2026/000000311
2026/000000366
2026/000000379",,SZÉV Raktár,,,"10-00016347-00, Pneumatika / Gyorscsatlakozó egyenes 8 mm-es csőhöz R1/4 menettel (SMC - KQ2H08-02AS)           20 db
10-00016348-00, Pneumatika / Gyorscsatlakozó egyenes 8 mm-es csőhöz R3/8 menettel (SMC - KQ2H08-03AS)           20 db
10-00016342-00, Pneumatika / Gyorscsatlakozó könyök toldó 2x6 mm-es csőhöz (SMC - KQ2L06-99A)                         20 db/10 db
10-00001957-00, Pneumatika / Gyorscsatlakozó T elosztó 6-6 (3104 06 00)                                                                20 db
10-10003222-00, Pneumatika / Fojtó-visszacsapó szelep, vonali kivitel, 2x8mm-es csőhöz (SMC - AS2052F-08)              5 db
10-00001932-00, Pneumatika / Gyorscsatlakozó toldó 08-08 (3106 08 00)                                                                  10 db10-00016395-00, Pneumatika / Fojtó-visszacsapó szelep R1/4 csatlakozó 10 mm-es csőhöz (SMC - AS2201F-02-10SA)    5 db10-00016373-00, Pneumatika / Gyorscsatlakozó T csatlakozó 3x10 mm-es csőhöz (SMC - KQ2T10-00A)                        10 db
10-00016364-00, Pneumatika / Gyorscsatlakozó átvezető 2x8 mm-es csőhöz, réz kivitel (SMC - KQ2E08-00A)                20 db
10-00001938-00, Pneumatika / Gyorscsatlakozó toldó könyök 8-8 (3102 08 00)                                                           10 db
Pneumatika / Gyorscsatlakozó toldó 08-08 (3106 08 00),10-00001932-00 10 db",Csatolt email,"Megkaptam
Megkaptam
Megkaptam.
Megkaptam
Megkaptam
Megkaptam
Megkaptam
Megkaptam
Megkaptam
Megkaptam
Ez is érkezett",AL,
SZÉV2024-204,TRUE,GYE,06.25,,1,2024.07.16.,,M12268,DOROTI PACK KFT.,EmB-1304B,,Deublin 902-120-188 forgóátvezető,,1 db,LR,
SZÉV2024-205,TRUE,GYE,06.25,,1,2024.09.27.,BET2024/03244,M17228,RÁK ÉS RÁK BT.,MXS-300MT,,Deublin 1114-020-188 forgóátvezető,10-00017845-00,1db,CsZ,
SZÉV2024-206,FALSE,LOG,06.26,,1,,,M10206,CREATIVE CNC KFT.,EmL-1020B,,Mh-20T relé,Csatolt email/fotó,1db,CsZ,
SZÉV2024-207,TRUE,GYE,06.26,,0,2024.07.08.,,M19100,RÁK ÉS RÁK BT.,KAFO-NCT BMC-2012A,,"BHC 2012 Ajtó víztiszta polikarbonát.  583x583x8mm,00-BNC2012P-00",,2db,CsZ,
SZÉV2024-208,TRUE,GYE,06.26,,0,2024.08.30.,2024/000000966,M09166,METAL-99 KFT.,EmL-610B,,"""Y""golyósorsó csapágy - 30TAC",Csatolt email,4db,CsZ,
SZÉV2024-209,FALSE,LOG,06.27.,,,,,,SZÉV Raktár,,,"Ventilátor 120x120x38-as 24Vdc,20-00000208-00",Csatolt email,10 db/5 db érkezett 2024.06.28. -án,AL,
SZÉV2024-210,TRUE,GYE,06.27.,,,2025.01.20.,BET2024/000155,,SZÉV Raktár,,,"10-00037741-00, Pneumatika / Szelep 4V21008B","Csatolt email  - Meg van rendelve, Díjbekérős : IRAMKO  SZR202401621 - SZÉV2024-210 - SZÉV2024-314 ",3 db,AL,
SZÉV2024-211,FALSE,IMP,06.27.,,0,,,M23134,MSK HUNGARY BT.,EmL3000,,ISO50 szerszámváltó kar,,1db,SL,
SZÉV2024-212,TRUE,GYE,06.28.,,,2024.09.13.,,,SZÉV Raktár,,,12 db féktisztító kis flakonos,Csatolt email,12 db,AL,
SZÉV2024-213,TRUE,LOG,06.28.,,,2024.12.12.,,,SZÉV Raktár,,,"10-10000365-01,AiS100 HŐÉRZÉKELŐ (hőmérséklet figyelő)",Csatolt email,5 db/ 4 db érkezett,AL,
SZÉV2024-215,TRUE,IMP,06.28.,,0,2025.01.30.,BET2025/00312,,SZÉV raktár,,,830-5GT-30 főorsó szíj MM-850 géphez,,10 db,LR,
SZÉV2024-216,TRUE,GYE,06.28.,,0,2024.07.10.,,M23121,SZALÓKY TIBOR EV,KAFO-NCT SV-1000,,"Tartalék / CV-7A / Géplámpa Golden GWL-136 24W,10-00022071-00",Csatolt email,1db,CsZ,
SZÉV2024-217,TRUE,IMP,06.28.,,,,,M12264,BOCZ-N KFT.,SMART-42,,"X golyósorsó R32-8T4-FSI-349,10-00033050-00",Csatolt email,1db,CsZ,
SZÉV2024-218,TRUE,GYE,07.01,,,,,,SZÉV raktár,,,Nyári szélvédőmosó folyadék 5L/Kanna,Csatolt email,9  kanna,AL,
SZÉV2024-219,TRUE,GYE,07.01.,,0,2024.07.02.,,M05050,METALCONSTRUCT ZRT.,TMV-510T,,1 db 6312ZZ csapágy,,1db,SL,
SZÉV2024-220,TRUE,GYE,07.01,,,2024.08.30,2024/000000965,,SZÉV raktár,,,"10-10001875-00, Csapágy / 30TAC62CSUHPN7C ferdehatásvonalú golyóscsapágy NSK",Csatolt email,12 db,AL,
SZÉV2024-221,TRUE,IMP,07.02.,,1,,,,Petrus,,,,,1db,CsZ,
SZÉV2024-222,FALSE,LOG,07.03.,,,,,,SZÉV raktár,,,"40-00010379-03, ENDAT / 2-csatornás EnDat 2.2 csatlakozás:",Csatolt email,3 db,AL,
SZÉV2024-223,TRUE,ERA,07.03.,,1,2024.11.14.,2024/00001365,,NORTON 4 KFT.,TNL-100,,"20-00001480-00,Ajtókapcsoló / Omron D4BL-2CRA (biztonsági ajtóretesz)",,2+1 db,CsZ,
SZÉV2024-224,TRUE,GYE,07.04.,,1,07.16,,M16283,KELET-SZERSZÁM KFT.,"VD-510S
Szerszámnyitó kar",,"1db IKO-NAST 20ZZ csapágy
 2db IKO RNA49o2 görgős csapágy
 2db CFI0VB csapos csapágy",,5db,SL,
SZÉV2024-225,TRUE,GYE,07.04.,,,07.16,,,NCT Taksony,VDI-40,,"2db 7007 UG/GMP42 csapágy
1db Tömítés/O-gyűrű: 34x2.5
1db Tömítés/O-gyűrű: 5x1,5
1db Tömítés/O-gyűrű: 60x1
1db Szimering: 28x22x4",,6db,SL,
SZÉV2024-226,TRUE,GYE,07.04.,,,2024.08.02.,BET2024/02572,,NCT Taksony,VDI-30 hajtott szerszám,,"2db S 61906 E TXM A7 csapágy
 2db Tömítés/O-gyűrű: 22.5x1.4
 1db Tömítés/O-gyűrű: 28x1.7
 2db Tömítés/O-gyűrű: 45x1
 1db Szimering: 21x15x3",07.16 tömítések megjöttek. Csapágyakat várjuk (utalás alatt).A 2 db csapágy megérkezett.2024.08.02. ,8db,SL,
SZÉV2024-227,TRUE,GYE,07.04.,,1,2024.07.22,BET2024/02572,M18030,FÉMTEK 1971 KFT.,"KMC-2622
Szögfej",,"1db FAG 6011 csapágy
 1db tűgörgős kosár K130-137-24 csapágy
 6db NBR+PTR: .....130x3.5x5.9
 8 db Tömítés / O-gyűrű 210x3","email/képek, a tömítések megérkeztek.csapágy is megérkezett.A tűgörgős kosár is megérkezett 2024.08.02.",16db,SL,
SZÉV2024-228,TRUE,GYE,07.05.,,,2024.07.26.,,M14335,AGG MŰHELY KFT.,hajtott szerszám,,"8db NACHI 6000 ZE csapágy
8db 7904C csapágy
5db szimering: 32xs24x4",email/képekaz 5 db szimering megérkezett a csapágyak is megérkeztek,21db,SL,
SZÉV2024-229,TRUE,GYE,07.05.,,1,,,M16283,KELET-SZERSZÁM KFT.,"VD-510S
""Royal
162160  20000rpm""",,4 db 5S-7008UC GD2/GLP4 csapágy,email/képek,4db,SL,
SZÉV2024-230,TRUE,IMP,07.05.,,,,,M16121,FORG-PRÉS KFT.,BNC-1840,,E-ARAK-20005-01 - ékléc,Csatolt email,1db,CsZ,
SZÉV2024-231,TRUE,GYE,07.05.,,,2024.07.09.,,,SZÉV raktár,,,"Tartozék / YHB belső szűrő betét készlet YIF-400 (YMC és YOC-400), 10-00004151-00",Csatolt email,2 klt,AL,
SZÉV2024-232,TRUE,GYE,07.05.,,,08.14,,M08290,LOSONCZI KFT.,EML-1600SV/E,,"10-10005818-00,Ablak / Polikarbonát 640x925x5 mm víztiszta (EmR-1604D)",Csatolt email,2 db,CsZ,
SZÉV2024-233,TRUE,GYE,07.05.,,,2024.08.26.,,M16065,LOSONCZI KFT.,EmB-1304D,,"10-00016804-00,Ablak / Polikarbonát 465x665x6 mm (EmL-1020)",Csatolt email,2 db,CsZ,
SZÉV2024-234,FALSE,LOG,07.09.,,,,,,SZÉV raktár,,,"DAC-60/120-RT  aszinkron szervohajtás tengelymodul:,40-00005908-00",Csatolt email,2 db,AL,
SZÉV2024-235,TRUE,GYE,07.09.,,,2024.11.07,,,SZÉV raktár,,,Féktisztító kis flakonos,Csatolt email,24 db,AL,
SZÉV2024-236,TRUE,GYE,07.09.,,,2024.07.25.,,,SZÉV,,,KUKKO 2-150-E JAW INDIVIDUAL WITH EXTENSION csapágylehúzókar 1pár,Csatolt email,1 pár,SL,
SZÉV2024-237,TRUE,GYE,07.09.,,1,2024.07.22.,,M05050,METALCONSTRUCT ZRT.,TMV-510,,"X-gyűrű 95 x 3,5  1db
O-gyűrű 55 x 3,5 1db",Csatolt email,2db,SL,
SZÉV2024-238,FALSE,GYE,07.10.,,1,,,,Tamil Kft.,,,"Olajgombák, az egyik Topper TNL130-hoz, a másik Kondia B640-hez.",Csatolt email+ fotók,1-1 db,AL,
SZÉV2024-239,TRUE,GYE,07.10.,,,07.16,,,SZÉV,,,"O-gyűrű 22 x 3.5 20db
O-gyűrű 138 x 3 20db
O-gyűrű 55.55 x 3.53 20db",Csatolt email,20-20 db,SL,
SZÉV2024-240,TRUE,LOG,07.10.,,,07.10,,M13350,TOBROCO MACHINERY KFT.,NCT HBM-10 ,,"1db TTL AC kártya
+ 1VPP szerelve",Csatolt email,1 db,SL,
SZÉV2024-241,TRUE,LOG,07.10.,,,2024.07.10.,,M17228,RÁK ÉS RÁK BT.,MXS-300MT,,WDS szenzor 1db,Csatolt email,1 db ,SL,
SZÉV2024-242,TRUE,LOG,07.11.,,,07.11,,M19003,S.C.OTELURI SI DEBITARI S.R.L.,EmL-1600,,"IPS02 TÁPEGYSÉG, 24 VDC:, 40-00001132-01",Csatolt email,1 db,AL,
SZÉV2024-243,TRUE,IMP,07.12.,,0,2025.02.04.,BET2025/00343,,SZÉV tartalék,,,"Manford Hao Cheng szerszámoldó munkahenger C050-SN35-13-1 (átm. 100, 6 bar, 3500 kg, 13 mm löket) 10-33871-00",,1 db/3 db érkeztt,LR,
SZÉV2024-244,TRUE,ERA,07.12,,,07.12,,,SZÉV raktár,,,"Kábel árnyékolt 3x0.14 (TRONIC-CY Art.nr. 20002), 21-00020002-00",Csatolt email,50 m ,AL,
SZÉV2024-245,TRUE,IMP,07.12.,,,,,M19047,KÖNIGIN TRADE KFT.,CHMER G43,,jelölt tétel,csatolt fotó,1 db,HA,
SZÉV2024-246,FALSE,GYE,07.12,,0,,,M14229,METARAD,TCS-1500,,legújabb konstrukciójú munkadarab elkapó,,1 készlet,LR,
SZÉV2024-247,TRUE,GYE,07.15.,,,2024.08.23.,2024/02913,M20171,DENDRIT MENTOR ,MXS-400DD,,ablaküveg 920x640x12.5mm,Csatolt email,1 db,CsZ,
SZÉV2024-248,TRUE,GYE,07.17,,0,07.18,,M12264,BOCZ-N KFT.,SMART-42,,"Golyósorsó csapágy ""X"" tengelyre: 1 db 6204VVCM + 2 db 20TAC 47CSUHPN7C",Csatolt email,1 klt,CsZ,
SZÉV2024-249,FALSE,IMP,07.18.,,,,,SN 131116637,KMT PRODUKT KFT.,BNC-1860,," ""X"" Golyósorsóra árajánlat, 25-ös tétel",Csatolt email + doksi,1 db,CsZ,
SZÉV2024-250,TRUE,GYE,07.18,,,Nem kérik,,M11263,MOLITON KFT.,MM-800 ,,"Főorsó csapágyak: csatolt doksi alapján 2db 7012 EBBI + 2db 7011 EBBI, Smax:10000",Csatolt email + doksi,1szett,CsZ,
SZÉV2024-251,TRUE,GYE,07.18.,,1,2024.07.31.,,M18235,JANDEM,MM-850,,Deublin 904-120-188 forgóátvezető -> Deublin 1109-020-188 is elegendő,,1 db,LR,
SZÉV2024-252,TRUE,LOG,07.18,,1,2024.07.23.,,M18235,JANDEM,MM-850,,AiS100 főmotor,,1 db,LR,
SZÉV2024-253,TRUE,LOG,07.18.,,0,,,M15247,HAJDU AUTOTECHNIKA IPARI ZRT.,EmB-1600,,,,,,
SZÉV2024-254,TRUE,,,,,,,M15248,HAJDU AUTOTECHNIKA IPARI ZRT.,EmR-1200,,,,,,
SZÉV2024-255,TRUE,GYE,07.18,,1,Nem kérik,,M09183,TOOL SZERSZÁMKÉSZÍTŐ BT.,K-HMR1060,,"Joucomatic szelep  ref:54191027,10-00003686-00",Csatolt mail + fotó,1 db,CsZ,
SZÉV2024-256,TRUE,IMP,07.18,,0,,,,CONTROLSYSTEM,,,"10-00026831-00,Tartalék / MM-430 / CEN03 Kenőtáp",Csatolt mail + fotó,5 db,CsZ,
SZÉV2024-257,TRUE,IMP,07.19.,,1,2024.09.03.,BET2024/02905,,SF Toolshop SRL,CHMER CD-325G-A,,Panasonic AC servo motor MQMA042P1S; Panasonic AC servo hajtás MBDDT2210017,Csatolt mail + fotó,1-1 db,CsZ,
SZÉV2024-258,TRUE,IMP,07.22,,0,,,M15168,HAJDU AUTOTECHNIKA IPARI ZRT.,EmB-2004D,,Y hátsó teleszkópos védőburkolat,Csatolt email,1 db,CsZ,
SZÉV2024-259,FALSE,IMP,07.22.,,0,,,M07202,KOVÁTS ZOLTÁN EV {HOLES KFT.},TNL-85ADT,,"""Z"" szánhoz törlő gumi",Csatolt mail + fotó,2 m,CsZ,
SZÉV2024-260,TRUE,IMP,07.23.,,0,2025.01.30.,BET2025/00312,,SZÉV,VD-510S,,Royal 12.000 RPM sn: 391790 CTS főorsó alkatrész,Csatolt rajz + fotók,1 db ,HA,
SZÉV2024-261,TRUE,GYE,07.23.,,0,2024.08.30.,BET2027/02834,M20134,ALSTOM HUNGARY KFT.,EMB-1300,,Deublin 902-120-188 forgóátvezető,még 1db jött rendelés 08.12-énm,1 db,LR,
SZÉV2024-262,FALSE,IMP,07.24,,0,,,,SZÉV raktár,,,"iHDW-BDA6S-IM-C20 kézikerék / 3 méteres kábel / 20 pólusú csatlakozóval szerelve,10-00033938-00",Csatolt email,20 db,CsZ,
SZÉV2024-263,TRUE,GYE,07.24.,,0,,,M13335,ICPEST SRL,EEN-320/750,,"""X"" golyósorsó + csapágyak",Csatolt email,1 klt,CsZ,
SZÉV2024-264,FALSE,LOG,07.25,,,,,,SZÉV tartalék,,,"19"" érintőképernyő (NCT2XX)","TOUCH_PANEL_19""_RESISTIVE_AST-190A140A,20-00004264-00",25,CsZ,
SZÉV2024-265,TRUE,ERA,07.25.,,,2025.03.13.,2025/000000379,,SZÉV raktár,,,"Kapcsoló / ELR W3-24V DC/500AC-2I irányváltó kapcsoló (2297031), 20-00003505-00",Csatolt email,2 db,AL,
SZÉV2024-266,TRUE,GYE,07.25,,0,2024.08.08.,BET2024/02662,M18038 / M18039,TOP HOLDING ZRT.,EEN-400/1250,,"10-00004061-00,Védőkötény / 205x550mm (EEN-400)",Csatolt email,2 db,CsZ,
SZÉV2024-267,TRUE,GYE,07.26.,,,2024.07.29.,,,SZÉV raktár/Ignác,,,12db M10x55 és 12db M10x65 12.9,Csatolt email/fotó/Ignác vette át személyesen Taksonyban,12 db-12 db,AL,
SZÉV2024-268,TRUE,LOG,2024.07.30.,,,2024.08.30.,2024/000000972,,Borovi Faipari ZR/SZÉV raktár,,,"EBI-BAT lithium elem egység EBI 1135 jeladóhoz (elem egység)_új F,40-00010700-81",Csatolt email/fotó,30 db,AL,
SZÉV2024-269,TRUE,GYE,07.31.,,0,2024.09.04.,BET2024/02912,,SZÉV raktár,MM-760,,30203 kúpgörgős csapágy (esernyős tárhoz),,2 db,LR,
SZÉV2024-270,TRUE,IMP,08.02,,,2024.11.07.,BET2024/03718,M17127,PEMÜ MŰANYAGIPARI ZRT.,BNC-2240,,Joystick 3SU1000-7BF10-0AA0,Csatolt email/fotó,1 db,CsZ,
SZÉV2024-271,TRUE,GYE,08.02.,,0,sztornó,,,TS HUNGÁRIA KFT.,,,olajok,,,LR,
SZÉV2024-272,TRUE,ERA,08.05.,,,2024.08.05.,,,SZÉV raktár,,,"Saru / Érvéghüvely szigetelt 0.5 mm2 narancs (0.5-ös pucuka) E020, 20-00001031-00    200 db
Saru / Érvéghüvely szigetelt 1 mm2 sárga (1-es pucuka)E090, 20-00001033-00              300 db
Saru / Érvéghüvely szigetelt 1.5 mm2 piros (1.5-es pucuka)E113, 20-00001034-00         500 db",Csatolt email,200-300-500 db,AL,
SZÉV2024-273,TRUE,ERA,08.05.,,,2024.08.06.2024.09.18.,"2024/874, 2024/1069",,SZÉV raktár,,,"Relé / Omron K8DT-PM2CN feszültségrelé (fázisfigyelő), 20-00006599-00",Csatolt email,5 db/2 db-ot kaptunk+ 1 db-ot kaptunk,AL,
SZÉV2024-274,TRUE,ERA,08.05.,,,2024.08.06.,2024/877,,SZÉV raktár,,,"120x120x38mm-es, 230V-os ventilátor, 20-00001058-00",Csatolt email,10 db,AL,
SZÉV2024-275,TRUE,GYE,08.07.,,0,2024.08.30.,,M14300,VÁG-TECH,EmR-1200B,,kúptisztítás visszacsapó szelep + pneumatikus szelep,,1-1 db,,
SZÉV2024-276,TRUE,IMP,08.07,,1,2024.09.10.,BET2024/03008,M15218,CSABA-METÁL,KAFO KMC-3127,,szögfej kenés elosztó tömb,,3 db,,
SZÉV2024-277,TRUE,GYE,08.08.,,,,,,SZÉV raktár,,,"10-10004795-00, Szíj / 5M/575/20 mm",Csatolt email,5 db,AL,
SZÉV2024-278,TRUE,GYE,08.12,,,2024.08.30.,BET2024/0834,M14180,Nasafém,EmR-1200B,,"Forgócsatlakozó / Deublin (902-120-188) forgócsatlakozó,10-00002612-00",Csatolt email,1 db,CsZ,
SZÉV2024-279,FALSE,GYE,08.14.,Á,0,,,M06247,METALCONSTRUCT ZRT.,TMV-510,,Főorsó csapágyak: 4db - 45BNR10STYNDBBLP4A-NSK + 1db - N1009BTCCG10P4,Smax: 12.000RPM,1 klt,CsZ,
SZÉV2024-280,FALSE,GYE,08.14,Á,0,,,,BEAR WERKZEUGMASCHINE GmbH,EEN-400,,"Árajánlat: 00-20045244-00,Ajtó üveg (EEN-400 - Kéder gumis ajtóüveg öá.)",,1 db,CsZ,
SZÉV2024-281,FALSE,IMP,08.14.,,0,,,M06247,METALCONSTRUCT ZRT.,TMV-510,,"Főorsó árajánlat: BT30, Smax 12.000 RPM",,1 db,CsZ,
SZÉV2024-282,FALSE,IMP,08.16,,,,,M14242,ELI-HU NONPROFIT KFT,EmR-1304B,,"""Y"" tengely, komplett golyósorsó csapágyakkal",Csatolt email,1 klt,CsZ,
SZÉV2024-283,TRUE,ERA,08.21.,,,2024.10.03.,2024/000001181,,SZÉV raktár,,,"Relé / Omron K8DT-PM2CN feszültségrelé (fázisfigyelő), 20-00006599-00",Csatolt email,2 db,AL,
SZÉV2024-284,TRUE,GYE,08.22,,,2024.09.20.,,,ALSTOM HUNGARY KFT.,,,"Szerszámoldás szelep Modell:4V310-10 10-00007413-00 Monostabil pneumatikus szelep 5/2-es G3/8""-os 24VDC ",Csatolt mail + fotó,1db,CsZ,
SZÉV2024-285,TRUE,GYE,08.22.,,1,2024.08.23.,2024/000000938,M11110,TRIMBLE HUNGARY KFT.,VD-510S,,"Főorsó csapágyak 4db: B7008-C-T-P4S-UL (orsó Smax 12.000 RPM, SN: Royal 145161)",Csatolt mail + fotó,1 klt,CsZ,
SZÉV2024-286,FALSE,LOG,08.23.,,,,,,SZÉV raktár,,,"Ventilátor 120x120x38-as 24Vdc, 20-00000208-00",Csatolt email,10 db,AL,
SZÉV2024-287,TRUE,GYE,08.23.,,,2024.08.26.,2024/000000941,,SZÉV raktár,,,"Tartalék / BNC-1640, 1840 / Szíj / HTD 5M-20-520mm, 10-00006620-00",Csatolt email,5 db,AL,
SZÉV2024-288,TRUE,ERA,08.26.,,,2024.09.26.,2024/000001122,,SZÉV raktár,,,"10-00009242-00, Tartalék / JSL/ Munkatérlámpa GWDCV113G (új)",Csatolt email,3 db,AL,
SZÉV2024-289,FALSE,GYE,08.26.,Á,0,,,M11272,S.C.COMPONENTE AUTO SRL,TNL-100AII,,Csatolt képen látható szalagra kérnek árajánlatot,Csatolt mail + fotó,1 db,CsZ,
SZÉV2024-290,TRUE,GYE,08.26.,,,2024.09.13.,,,SZÉV raktár,,,Géprongy,Csatolt email,2 zsák,AL,
SZÉV2024-291,TRUE,GYE,08.27.,,,2024.08.30.,2024/000000968,M18335,Alu-Spán,KAFO KMC-4127,,6009 Z csapágy,Csatolt fotó/email,1 db,AL,
SZÉV2024-292,TRUE,GYE,08.27.,,1,2024.08.28.,2024/0000000955,M11110,TRIMBLE HUNGARY KFT.,VD-510S,,6206T2X2C3 csapágy,Csatolt fotók,2 db ,HA,
SZÉV2024-293,TRUE,GYE,08.28.,R,,2024.11.19.,BET2024/03862,,SZÉV raktár,,,"Csapágy / 6206 T2X2.LLB.C3/ L051QTK  magas fordulatú csapágy NTN, 10-10003190-00",Csatolt email,6 db,AL,
SZÉV2024-294,TRUE,ERA,08.28.,,,2024.11.14.,2024/000001639,,SZÉV raktár,,,"Kapcsoló / Omron E2A-M12LS04-WP-B1 5M (12mm-es, PNP/NO-s induktív hosszú érzékelő, 5m), 20-00002920-00",Csatolt email,3 db,AL,
SZÉV2024-295,TRUE,GYE,09.02.,R,,2024.11.07.,,,SZÉV raktár,,,"Gyorskötöző     250x4,8 (100 db/csomag)    5 csomag
Gyorskötöző     200x3,6 (100 db/csomag)    5 csomag
Szilikon fekete  500 ml, 12 db/karton          1 karton​
​Mérőszalag       5 méteres                          3 db
H7-es izzó                                                     10 db","Csatolt email, a mérőszalag és az izzókat megkaptuk a szilikon is megérkezett 2024.09.25.-én., Megkaptunk, mindent.",,AL,
SZÉV2024-296,TRUE,GYE,09.03.,,,2024.05.27.,BET2024/03245,M22039,PETRUS IPARI KERESKEDELMI ÉS SZOLGÁLTATÓ KFT.,EMP-320DD,,"20-00002158-00,Forgócsatlakozó / Deublin (1109-020-188) forgócsatlakozó",Csatolt fotó/email,1 db,CsZ,
SZÉV2024-297,FALSE,GYE,09.03.,Á,1,,,M030040,METRIMED KFT.,MSN-400,,Orsó csapágy készletre árajánlat: Timken JZ 39250 / LT 39512 B 2 db,Csatolt fotó/email,1klt,CsZ,
SZÉV2024-298,TRUE,LOG,09.04.,,,2025.02.19.,2025/000000270,,SZÉV raktár,,,"EPU-R / EtherCAT periféria csatoló egység:                                            40-00010364-20    5 db
EPU / EtherCAT periféria csatoló egység:                                               40-00010364-00    5 db
O8RM / 8-relés morzeérintkezős kimenettel rendelkező kimeneti modul:  40-00010369-00    2 db
O8R / 8-relés záró érintkezős kimenettel rendelkező kimeneti modul:      40-00010370-00    2 db
O8RC / 8-relés záró érintkezős kimenettel rendelkező kimeneti modul:    40-00010370-10    5 db
O32C / 32 vonalas DSUB tranzisztoros kimeneti modul:                          40-00010368-02    3 db 
40-00010379-10  TTLAC2 / 2 csatornás TTL jeladó bemeneti és analóg vagy CAN BUS kimeneti modul:   3 db
40-00010379-20  TTLAC / 1 csatornás TTL jeladó bemeneti és analóg vagy CAN BUS kimeneti modul:     3 db","Csatolt email, EPU-R-ből kaptunk 3 db-ot/ amit tudott  azt adott Dia, mindenből kaptunk.",,AL,
SZÉV2024-299,FALSE,GYE,09.04.,Á,,,,,SZÉV raktár,,,Csapágy / NSK 60BNR10HTSUELP3 Ferdehatásvonalú golyóscsapágy 10-00002720-00,Csatolt email,4 db,AL,
SZÉV2024-300,TRUE,ERA,09.04.,,,2024.11.14.,2024/000001367,,SZÉV raktár,,,"Doboz / Kötődoboz OBO 2000378 A 14 100x100 mm üres IP54 világosszürke, 20-10010054-00",Csatolt email,3 db,AL,
SZÉV2024-301,TRUE,ERA,09.05.,,,2024.09.26.,2024/000001123,M10259,TELUM FÉMIPARI KFT.,EmR-610D-5AX,,"20-00001867-00,Kapcsoló / Balluff BNS 819-99-D-13 kapcsoló",Csatolt fotó/email,2db,CsZ,
SZÉV2024-302,TRUE,LOG,09.05.,,,12.20,,,SZÉV raktár,,,/piros targonca akksi feltöltés/ Desztillált víz 5l/kanna,Csatolt email,15 kanna,AL,
SZÉV2024-303,FALSE,GYE,09.05.,Á,,,,,KOÓP 55 KFT.,EEN-320,,Olajszivattyú cserére árajánlat. Eredeti: HZFK 71b-4,Csatolt fotó/email,1db ,CsZ,
SZÉV2024-304,TRUE,ERA,09.05.,,,2024.09.26.,2024/000001121,,SZÉV raktár,,,"Kábelvédelem / Gégecsőtartó bilincs Pg 21 (1.724.2101.11)   20-00001120-00    10 db
Kábelvédelem / Gégecsőtartó bilincs Pg 9 (1.724.0901.11)     20-00001116-00    15 db
Kábelvédelem / Gégecsőtartó bilincs Pg 36 (1.724.3601.11)   20-00001122-00      5 db
Kábelvédelem / Gégecsőtartó bilincs Pg 29 (1.724.2901.11)   20-00001121-00     15 db",Csatolt email,,AL,
SZÉV2024-305,TRUE,IMP,09.05.,Á,,"2025.02.17.
2025.03.28.","BET2025/00550
BET2025/01078",M16136,LOKO TRANS,HONOR-NCT VL-100C ,,Hidraulikus motor 112S + szivattyú   TCVVP - F3030 – A4 – 1  (vagy kiváltó),"Csatolt fotó/email az elsőt visszaküldi, nem jó ezért újra megrendelve",1db,csZ,
SZÉV2024-306,TRUE,LOG,09.06.,,,2024.12.11.,2024/000001521,,SZÉV raktár,,,"Li-elem 3.6V (LS14250CNA) 20-00000631-00 + 20-00003158-00,Ventilátor Sunon Maglev KDE1204PFV1.11MSAF 40x40",,50-50db/20-20 db-ot kaptunk,csZ,
SZÉV2024-307,TRUE,GYE,09.06.,,0,2024.09.27.,BET2024/03242,M15248,HAJDU AUTOTECHNIKA IPARI ZRT.,EmR-1200D,,Deublin 1109-020-188,,1 db,LR,
SZÉV2024-308,TRUE,GYE,09.06.,,0,2024.10.15.,"2024/000001244, BET2024/03504",M20016,PLASTIC-FORM,EmR-1200M-4H billenőfejes,,"Billenőfej rögzítőfék
200292760 Billenőfej öá. - Rögzítőfék",,1 készlet,LR,
SZÉV2024-309,FALSE,Babett,09.06.,,0,,,,VIVBER KFT.,Kondia HM-1060,,szerszámcserélő mechanika,,1 db,TV,
