SZÉV igény szám,Státusz,Felelős,Igény dátuma,Fizetendő,Gépállás,Teljesítés dátuma,Áttárolás száma,Msz,Megrendelő,Géptípus,Igény,Megjegyzés (email) ,Megjegyzés GYE,Igénylő,
SZÉV2022-290,FALSE,IMP,06.13.,,0,,,M16135,LOKO TRANS,BNC-40120,"Árajánlat: ""X"" golyósorsó + csapágyakra",,,CsZ,
SZÉV2022-291,TRUE,IMP,06.13.,,1,,,M15065,GYOPÁR 2000 KFT. ,RY-42,"Z lineár vezeték
Y lineár vezeték, golyósorsó, csapágyak",emailben csatolva a hozzátartozó képek tételszámmal ,,BÁ,
SZÉV2022-292,TRUE,GYE,06.13.,,,,,,NCT Akadémia,Microcut BNC-1640II,nagyobb teljesítményű szivattyú kiépítése ,,,DÁ,
SZÉV2022-293,TRUE,GYE,06.13.,,,06.14.,,M15219,Csaba Metál,EMB-1305,Deublin (902-120-188) forgócsatlakozó,,,DÁ,
SZÉV2022-294,TRUE,GYE,06.13.,,0,SZTORNÓ,,M18247,K-KART spol. s.r.o.,KFO-650DD,komplett szerszámcserélő kar,,,HA,
SZÉV2022-295,TRUE,GYE,06.14.,,,,,,SZÉV tartalék,,Gulyás Józsi szerszám igény,,,DÁ,
SZÉV2022-296,TRUE,GYE,06.14.,,,,,M04263,KORMÁNY KFT.,TNL-100A,hidraulika szivattyú+motor,ANSON PVF-30-35-10S ,Nem kérik,CsZ,
SZÉV2022-297,TRUE,GYE,06.14.,,,06.17.,,M15253,MVM NUKLEÁRIS KARBANTARTÓ,EPA-320,EVIG EHL160L4 főmotor csapágyak ,,,DÁ,
SZÉV2022-298,TRUE,GYE,06.14.,,,,,,SZÉV tartalék,,2x100db kábel rögzítő,,,DÁ,
SZÉV2022-299,TRUE,GYE,06.14.,,,,,,SZÉV tartalék,,"PG7 gégecső 10m, PG9 gégecső 10m, PG11 karmantyú 10db ",,,DÁ,
SZÉV2022-300,FALSE,GYE,06.15.,,,,,M08078,GEDIA ,CME-FS-1,Z redőny burkolat (kb 700mm),,,CsZ,
SZÉV2022-301,TRUE,GYE,06.15.,,,06.21.,,,SZÉV tartalék,,20db H3 izzó,7db-ot megkaptunk,,DÁ,
SZÉV2022-302,TRUE,GYE,06.15.,,,06.21.,,,SZÉV tartalék,,kábelvédő anyagok pótlása ,részletes leírás az emailben,,DÁ,
SZÉV2022-303,TRUE,GYE,06.15.,,,06.16.,,,SZÉV tartalék,,pneumatikus anyagok pótlása,részletes leírás az emailben,,DÁ,
SZÉV2022-304,FALSE,GYE,06.15.,,0,,,,SZÉV tartalék,,"10-00004943-00 P-CA82-1010
10-00022973-00 TSI3
Renishaw HPMA motoros szerszámbemérő karhoz","egyelőre csak kölcsönbe kell,  Smiciék javítanának egyet a csarnokban",,HA,
SZÉV2022-305,TRUE,GYE,,,,,,M10143,FMF,EmB-1104G,BT40 csipesz,Szerszám cserélő:karos-24 poz-BT40;Főorsón keresztüli hűtés-30bar,,DÁ,
SZÉV2022-306,FALSE,IMP,06.16.,,,,,M17189,VT-FER,VD-510S,Szerszámtár tárcsa,,,CsZ,
SZÉV2022-307,TRUE,GYE,06.16.,,,06.24.,,,NCT Fejlesztés ,,"VM132S csapágyak 1db SKF 6309-2Z/C3, 1db SKF 6307-2Z/C3 ",,,DÁ,
SZÉV2022-308,TRUE,LOG,06.16.,06.16.,1,,,M07208,MAGYARMET,TNL-120AL.,"ECON104, CTRL_KB (304)",,,BÁ,
SZÉV2022-309,FALSE,,06.16.,,,,,M12214,HAJDU AUTOTECHNIKA,BNC-1860,"""Z"" orsó+csapágyak",,,CsZ,
SZÉV2022-310,TRUE,GYE,06.17.,,,06.29.,,M13166,ProForm,EmR-1304D,BPF-10U11M110FA szerszámoldó munkahenger,10-00028885-00,,CsZ,
SZÉV2022-311,TRUE,IMP,,,,11.24.,,M15131,S.C.METAGALAX s.r.l.,EmR-1200D,"golyósorsó készlet + csapágyak (X,Y,Z)",,,DÁ,
SZÉV2022-312,FALSE,IMP,06.20.,,,,,M21054,VKSZ Veszprémi Közüzemi Szolgáltató ZRT.,MXS-400DD FAD-400HS nullpontos (VU-620) ,csere orsó,,,DÁ,
SZÉV2022-313,TRUE,GYE,06.20.,,,07.20.,,M17272,Inlong,Kondia B-640,Tármozgató munkahenger - 10-82234200-00,,,CsZ,
SZÉV2022-314,TRUE,IMP,06.21.,,,07.14.,,M20050,NCT Fejlesztés ,HSP-450 (FD-450) ,lineáris kocsi,,,DÁ,
SZÉV2022-315,TRUE,GYE,06.21.,,,,,,,,,,,DÁ,
SZÉV2022-316,FALSE,IMP,06.21.,,,,,M06010,Inter-V,EUROmill-450L,"""Y"" védőburkolat",,,CsZ,
SZÉV2022-317,FALSE,IMP,06.22.,,,,,M20018,CSABA-BERÉNYI,HBM-4,orsó támasz,,,DÁ,
SZÉV2022-318,TRUE,IMP,06.22.,,,11.28.,,M11374,TS HUNGÁRIA KFT.,BNC-40120,ajtó sínek + lineáris csapágyak,,,DÁ,
SZÉV2022-319,TRUE,GYE,06.23.,,,,,,SZÉV tartalék,,kék-fehér paplanszűrő ,,,DÁ,
SZÉV2022-320,TRUE,GYE,06.23.,,,,,,,,,,,DÁ,
SZÉV2022-321,TRUE,GYE,06.24.,,1,,,M14158,AGROSTART BT. DIANA SZAKKÉPZŐ ISKOLA,JSL-20-ABMs,golyósorsó X2 tengelyéről,,,DÁ,
SZÉV2022-322,TRUE,GYE,06.24.,,1,06.28.,,M18054,METÁL-CNC 2000 KFT.,EML-1020,"Szerszámcserélő motor 5RK60GN-CPTS,220V/1PH/60W",10-00005694-00,,CsZ,
SZÉV2022-323,TRUE,LOG,06.27.,,,,,M16292,PLASMA-TECH SYSTEMS KFT.,EEN-320E,A3-54-30-EH/E-Z1 (Nr. 984-10-8716) motor tekercselés,,,DÁ,
SZÉV2022-324,TRUE,,06.27.,,0,08.12.,BET2022/03223,M13307,BLAUFORM,EmL-610B,X-Y golyosórsó és csapágyak,,,CsZ,
SZÉV2022-325,TRUE,GYE,06.28.,,,06.29.,,M15003,MODUL-BAKE,BNC-1840,"Szennylehúzó - A  BA25/H méret 23,5mm - 1m",,,DÁ,
SZÉV2022-326,TRUE,GYE,06.28.,,,06.29.,,,SZÉV tartalék,,10db M8 szegecsanya ,,,DÁ,
SZÉV2022-327,TRUE,GYE,06.28.,,,06.29.,,,SZÉV tartalék,,induktív szerelhető kábel,,,DÁ,
SZÉV2022-328,TRUE,IMP,06.28.,,,03.01.,,,MST,,YHB 300+350+400 YMC belső szűrő betét,mindhárom készletből 3-3 csomagot kérünk (2készlet tartalék),,CsZ,
SZÉV2022-329,TRUE,GYE,06.28.,,,08.04.,BET2022/03139,M19069,MST,EmR-1600M-5HT billenőfejes,forgóátvezető,,,DÁ,
SZÉV2022-330,TRUE,GYE,06.28.,,,08.05.,,M15327,Mobilinter,JCL-60,"csapágy 2 PCS 7016 A5TYNSUMP5 
csapágy 1 PC NN3015 TBKRCC0P5 ",megrendelve ,,DÁ,
SZÉV2022-331,TRUE,GYE,06.29.,,0,08.22.,, M21167,Etisys Kft.,MM-850E,Hűtővíz / AG Friguo 540 C hűtővíz koncentrátum (25 kg/kanna),"Akadémiától kaptuk kölcsön, vissza kell adni",,HA,
SZÉV2022-332,TRUE,GYE,06.30.,,,06.30.,,M11253,Prímaró kft.,Smart-42,4db+1db 10-00004052-00 SPZ1700 szíj,,,DÁ,
SZÉV2022-333,FALSE,GYE,06.30.,,,,,,Csaba-Metál,olajhűtő típusa: HABOR HBO-400PSB MFG:LC336824,szivattyú típus: HABOR HBP-F20-A0-10,10-00033178-00 - 2021-ben Manfordtól elvileg rendeltünk,,CsZ,
SZÉV2022-334,TRUE,GYE,06.30.,,,07.01.,,,CNC Centrum kft.,,hidraulikus tokmány meghúzó ,,,DÁ,
SZÉV2022-335,TRUE,GYE,07.04.,,,,,,Alu Meta Sistem,,"1db: 1012 BKR, 3db: 70BNC10TY, 3db: 70BC10",,Nem kérik,CsZ,
SZÉV2022-336,TRUE,GYE,07.04.,,,07.05.,,,SZÉV tartalék,,2db 670-5M-12 szíj ,,,DÁ,
SZÉV2022-337,TRUE,GYE,07.04.,,,07.05.,,,SZÉV tartalék,,5db DSG-01-2D2-A110-50 hid.szelep,,,DÁ,
SZÉV2022-338,TRUE,GYE,07.04.,,,07.12.,,M21049,SANATMETAL,TCS-2000,biztonsági üveg 520x400x26mm,,ok,CsZ,
SZÉV2022-339,TRUE,GYE,07.04.,,,07.05.,,M19082,T.E.T.T. MÉRNÖKIRODA,MSL-200,DSG-02-2D2-D24-N hidraulika szelep,,ok,CsZ,
SZÉV2022-340,TRUE,GYE,07.04.,,,07.18.,,M20182,Hydro extrusion hungary kft. ,CT-60,indexáló mágnes tekercs,,,DÁ,
SZÉV2022-341,FALSE,GYE,07.05.,,,,,,SZÉV tartalék,,Lung Tang karforgató motor ,,,DÁ,
SZÉV2022-342,FALSE,GYE,07.06.,,0,,,M16103,BOGNÁR ÉS TÁRSA KFT.,WHN13.8,X energiavezető,1db Kabelschlepp MF110.2-200-4000-ST/ST,,LR,
SZÉV2022-343,TRUE,GYE,07.06.,,,07.07.,,M20131,JUHÁSZ SÁNDOR EV,MXS-650DD,1db nyomáskapcsoló ,,,DÁ,
SZÉV2022-344,TRUE,GYE,07.06.,,,07.12.,,M17244,Gamma Mechanika Kft.,MM-850,4 db 7012CTRDULP3 csapágy,,,DÁ,
SZÉV2022-345,FALSE,GYE,07.06.,,,,,,SZÉV tartalék,,"10 db 2,4A-es Phoenix contact relé ",,,DÁ,
SZÉV2022-346,TRUE,IMP,07.06.,,1,,,M21168,Gáspár Pack,MM-850,1-1-1 db X-Y-Z golyósorsó,sn:V-210478,,DÁ,
SZÉV2022-347,TRUE,GYE,07.07.,,,07.27.,,M17147,S.C.METAGALAX s.r.l.,SMART-S8,POSA Főorsó csapágyak (10.000 rpm),4 db NSK 60BNR10HTSUELP3,ok,CsZ,
SZÉV2022-348,TRUE,IMP,07.07.,,,09.29.,,M10119,K-Kart ,EmR-1200D,X golyósorsó ,,,DÁ,
SZÉV2022-349,TRUE,GYE,07.07.,,,07.08.,,,SZÉV tartalék,,4db 700-5GT-30,,,DÁ,
SZÉV2022-350,TRUE,GYE,07.07.,,,,,M12004,GOODWILL-TRADE KFT.,EML-1020D,főorsó köszörülés ,,,DÁ,
SZÉV2022-351,TRUE,GYE,07.07.,,,07.12.,,M17080,GYŐRFI JÓZSEF EV,MM-760,"1 pár 7012CTRDULP3 NSK, 1 db 7012CTRSULP3 NSK
",,,DÁ,
SZÉV2022-352,TRUE,GYE,07.13.,,1,07.22.,,M12004,GOODWILL-TRADE KFT.,EML-1020D,"főorsó csapágyak, Smax: 10.000 rpm",4db FAG: HS7014-C-T-P4S-UL,ok,CsZ,
SZÉV2022-353,TRUE,GYE,07.13.,,1,07.14.,,M21194,NCT TAKSONY (Royal Production),EmL-1020B,"főorsó csapágyak, Smax: 8.000 rpm",4 db FAG B7014-C-T-P4S-UL csapágy,,LR,
SZÉV2022-354,TRUE,IMP,07.13.,,0,,,M10112,ERFORG,MM-760,Szerszámtár tárcsa,"Szerszámcserélő tárcsa (DIN40, 16T),10-00033555-00",,CsZ,
SZÉV2022-355,TRUE,LOG,07.14.,?,1,,,M05006,DENDRIT,TMV-850A,A3-54-30-EH/4096-Z2 motor,,,BÁ,ÜF kiszolgálva
SZÉV2022-356,TRUE,GYE,07.15.,,1,07.27.,,M14097,Duna Prec,MM-800S,4db 60BNR1OSTSUELP3,,,DÁ,
SZÉV2022-357,TRUE,GYE,07.15.,,1,07.20.,,M14097,Duna Prec,MM-800S,1db skf 6207-2Z/C3 1db skf 6308-2Z/C3,VM100L 10.000rpm motorba,,DÁ,
SZÉV2022-358,TRUE,GYE,07.15.,,,07.27,,M19087/M14165,SANATMETAL,EmR-1200M-5HTA billenőfejes,2db FAG HCB7013-C-T-P4S-UL és 2db FAG HCB7010-C-T-P4S-UL csapágy,"Microlab M4-RMSC-15 emelt teljesítményű motororsóba (18kW,15000 ford/perc)",,DÁ,
SZÉV2022-359,TRUE,GYE,07.18.,,,08.08.,,,SZÉV tartalék,,"2x100 tányérrugó 40 x 20,4 x 2,5, 100db 40 x 20,4 x 2 ",,,DÁ,
SZÉV2022-360,TRUE,GYE,07.19.,,,07.21.,,,SZÉV tartalék,,4db 30tac62csuhpn7c,,,DÁ,
SZÉV2022-361,TRUE,GYE,07.20.,,0,07.21.,,M10143,FMF,EmB-1104G,Szerszámgomba megfogó csipesz - BT40,10-00005695-00,ok,CsZ,
SZÉV2022-362,TRUE,GYE,07.21.,,0,,,M16121,JÓNÁS LÁSZLÓ EV,BNC-1840,2db - szíj 5M-20-520mm,10-00006620-00,ok,CsZ,
SZÉV2022-363,TRUE,GYE,07.22.,,0,07.25.,,M12214,HAJDU AUTOTECHNIKA IPARI,BNC-1860,"""Z"" golyósorsó csapágyak",4db- 30 TAC62,ok,CsZ,
SZÉV2022-364,FALSE,IMP,07.22.,,0,,,M18126,HUONKER,JSL-32ABMs,Wexten CO24PS vágóolaj hűtő hőcserélő,"Hőcserélője kilyukadt és elszökött belőle a gáz, árajánaltot kérünk a csatolt képen szereplő hőcserélőre",,LR,
SZÉV2022-365,TRUE,LOG,07.26.,,,,,M15327,Mobilinter,JCL-60TSM (JCL-75ABMs) ,tekercselés ,,,DÁ,
SZÉV2022-366,TRUE,GYE,07.28.,,0,07.29,,M14094,FRANK HUNGÁRIA,EmR-1020D,1 db DEUBLIN 1109-020-188,,,LR,
SZÉV2022-367,TRUE,GYE,07.28.,,,08.01.,,,SZÉV tartalék,,2db skf 6002-2Z/C3,,,DÁ,
SZÉV2022-368,TRUE,GYE,07.28.,,,07.29.,,,SZÉV tartalék,,"5db 3/4""-os anacondához csatlakozó elemek ",,,DÁ,
SZÉV2022-369,TRUE,GYE,07.28.,,,11.08.,,,SZÉV tartalék,,5db SE-FP-1-100M olajhűtő klíma szűrő,,,DÁ,
SZÉV2022-370,TRUE,GYE,07.28.,,,08.02.,,,SZÉV tartalék,,5 pár harting tartó keret ,,,DÁ,
SZÉV2022-371,TRUE,GYE,07.28.,,,11.23.,,,SZÉV tartalék,,1db optimax hf T150-700-30 szíj,járatóhoz kell,,DÁ,
SZÉV2022-372,TRUE,IMP,07.29.,,,,,M18030,FÉMTEK 1971 kft.,KAFO-NCT KMC-2622,2db hengeres (PIN1) és 2db 6szögletű (PIN2) tájoló csap,"Emailben: ""SZÉV2019-0385 Igény - Kafo szögfej alkatrészek"" ",,DÁ,
SZÉV2022-373,TRUE,GYE,08.01.,,,08.26,,M14328,DENDRIT (FIRE CONTROL KFT.) ,MM-760,"2db 355x610x15mm (PC 4.5mm & glass 4mm) tolóajtó üveg, 2db 670x730x15 (PC 4.5mm & glass 4mm) oldalsó ajtó üveg ",árajánlatot kérünk,,DÁ,
SZÉV2022-374,TRUE,GYE,08.01.,,0,08.04,,M13139,Helti,EmR-1020D,Deublin 902-120-188 forgóátvezető,,,LR,
SZÉV2022-375,FALSE,ERA,08.02.,,,,,,SZÉV tartalék,,elektromos anyagok pótlása,"5db XB5AW36B5 kék nyomógomb,
5db XB5AA21 fekete nyomógomb,
5db Omron SHL-Q2155 végálláskapcsoló,
5db Omron D4MC-5000 végálláskapcsoló,
3db 12-es NO-s induktív,
3db 12-es NC-s induktív,
5db 8as NO-s induktív,
5db 8-as NC-s induktív,
10db PG7-es karmantyú,
5db M20-as karmantyú,
5db M16-os karmantyú,
5db M20-as anya (kábelvédőhöz)
5db M16-os anya (kábelvédőhöz)
5db M12-os anya (kábelvédőhöz)",,DÁ,
SZÉV2022-376,TRUE,GYE,08.02.,,,,,M17147,S.C.METAGALAX s.r.l.,SMART-S8,"1db NSK 6306V C3, 1db NSK 6305V AD27",sztornó - skf-ből megvettük,,DÁ,
SZÉV2022-377,TRUE,GYE,08.02.,,,-,,M17147,S.C.METAGALAX s.r.l.,SMART-S8,4db (2x2) SKF 7012 CEGAT/P4A,sztornó - 4db 60BNR10HTV1VSUELP3 (347-es igény) lesz beépítve,,DÁ,
SZÉV2022-378,TRUE,GYE,08.02.,,,08.04.,,,SZÉV tartalék,,kék-fehér ventilátor szűrő paplan,,,DÁ,
SZÉV2022-379,TRUE,GYE,08.03.,,,08.04,,M06082,BOCZ-N KFT.,TNL-120ALDT,főorsó csapágyak,,,DÁ,
SZÉV2022-380,TRUE,GYE,08.03.,,0,08.03.,,M18170,MST ENGINEERING KFT.,MXS-300 MT,"16x75 mm főorsó csap / 
70064297-00 - szerszámlazító tengely","Juhász, 2 db",,HA,
SZÉV2022-381,TRUE,ERA,08.03.,,1,08.04,,,Ventifilt,SC-33 karusszel,"20 méter 4x4-es motorkábel, 4 db 8-as körsaru",,,LR,
SZÉV2022-382,FALSE,ERA,08.03.,,0,,,,Albametal + SZÉV tartalék,,2 db fázisfigyelő,,,LR,
SZÉV2022-383,TRUE,ERA,08.04.,,0,,,,SZÉV tartalék,,10db hőcserélő ventilátor gulf 6c-230abst ,vettünk máshonnan,,DÁ,
SZÉV2022-384,TRUE,GYE,08.04.,,,08.04.,,,ENTRA-SYS,,"árajánlatot kérünk 1db 810-5GT-30, 1db 800-5GT-30 szíjra",eredmény: 1db 800-5GT-30 postázásra kerül aug22-re 9950ft ,,DÁ,
SZÉV2022-385,TRUE,GYE,08.08.,,,08.08.,,,SZÉV tartalék,,tányérrugó 2x50db 31.5 X 16.3 X 2.0,,,DÁ,
SZÉV2022-386,TRUE,GYE,08.08.,,,08.11.,,,SZÉV tartalék,,kék-fehér ventilátor szűrő paplan,,,DÁ,
SZÉV2022-387,TRUE,GYE,08.08.,,,08.09.,,,SZÉV tartalék,,20liter zsírtalanító ,,,DÁ,
SZÉV2022-388,FALSE,GYE,08.08.,,,,,,SZÉV tartalék,,"2db HTD-575-5M-20, 2db HTD-5M-625-25",,,DÁ,
SZÉV2022-389,TRUE,GYE,08.08.,,,08.09,,,SZÉV tartalék,,5db szűrő 10-00001511-00,,,DÁ,
SZÉV2022-390,TRUE,GYE,08.09.,,,08.30,,,SZÉV tartalék,,"5db 6206 2RS, 5db 6206 2Z", 4db NTN 6206LLU-t megkaptam,,DÁ,
SZÉV2022-391,FALSE,LOG,08.10.,,0,,,M18306,Dunaferr Labor,KAFO CV-7A,"Ai15 motor EBI jeladóval; hengeres, retesz nélküli tengelyvéggel",,,LR,
SZÉV2022-392,TRUE,Babett,08.10.,,1,,,M13243,BÍRÓ KFT.,TAJMAC.ZPS.H400.MMK-004,Paletta vonócsap (4 db = 1 szett),,,BÁ,
SZÉV2022-393,TRUE,GYE,08.10.,,,08.15.,,,SZÉV tartalék,,"2 db 6310 ZZ C3, 2 db 6312 ZZ C3 csapágy",,,DÁ,
SZÉV2022-394,TRUE,ERA,08.10.,,0,,,M21050,NCT 2000 FÉMIPARI GYÁRTÓ ÉS SZOLGÁLTATÓ BT.,SFM-760,1 db 10-00027278-00 Géplámpa / 3 színű LED lámpa 2016 ÚJ típus! (R2022/00803 szerint),,,BÁ,
SZÉV2022-395,TRUE,GYE,08.12.,,,08.12.,,M17147,S.C.METAGALAX s.r.l.,S8,12db 30tac csapágy ,Molnár Szabolcsnak,,DÁ,
SZÉV2022-396,TRUE,GYE,08.12.,,,,,"

M18005","

FIRST-TECH KFT.","
VD-510",4db NSK hps 7008C SULP4 csapágy,,,DÁ,
SZÉV2022-397,TRUE,IMP,08.15.,,1,09.12,BET2022/03571,M11011,DENDRIT MENTOR KFT.,Baoma DK7732,"vezérlő kártya (2 típus, képek mellékelve)",,,BÁ,
SZÉV2022-398,FALSE,Babett,08.15.,,1,,,M15245,FIRE CONTROL KFT.,K-B-640,X golyósorsó ,,,BÁ,
SZÉV2022-399,TRUE,GYE,08.16.,,,08.17.,,M05256,NEUMANN JÁNOS EGYETEM,TOMILL-250,1db AZ pneumatica FR4-08-30-s levegőelőkészítő,,,DÁ,
SZÉV2022-400,TRUE,GYE,08.16.,,,,,,SZÉV tartalék,,2db 5/2-es IS-2252 pneumatikus szelep,gyártótól kell rendelni,,DÁ,
SZÉV2022-401,TRUE,GYE,08.17.,,,10.05,,,SZÉV tartalék,,2db Omron K8AK-PW2 fázis figyelő,Nnincs raktáron -1db-ot kaptunk,,DÁ,
SZÉV2022-402,FALSE,GYE,08.17.,,,,,,SZÉV tartalék,, szűrő készlet feltöltés,Taksonyból,,DÁ,
SZÉV2022-403,TRUE,GYE,08.18.,,,08.25.,,,SZÉV tartalék,,ajtó zár nyelv  ,kép csatolva,,DÁ,
SZÉV2022-404,FALSE,IMP,08.18.,,,,,,SZÉV tartalék,, szűrő készlet feltöltés,Manfordtól,,DÁ,
SZÉV2022-405,TRUE,LOG,08.18.,,1,,,M13311,ALEXANDRIT KFT.,RY-42,"1 db Ai50-EH/M-Z1 hűtött, kiegyensúlyozott (főmotor)",,,BÁ,
SZÉV2022-406,TRUE,IMP,,,0,09.29,,M13035,UNIFY,TA-25AB, KAUKAN LDS-211 - hűtőegységének hőmérséklet szabályozójára kérünk ajánlatot,,,CsZ,
SZÉV2022-407,TRUE,IMP,10.22.,,0,,,M14056,ALU META SISTEM,MM-760,tárcsa forgató csigakerék,SZÉV2020-0260 rendeléssel megegyező,,CsZ,
SZÉV2022-408,TRUE,GYE,08.25.,,0,,,M21086,Taksony / INTER V KFT.,KONDIA B-1050,"2 db 7010CTRDULP4
2 db 7012CTRDULP4
200 db Tányérrugó S4305 31,5x16,3x2 mm
1 db szíjtárcsa (kérésre kijuttatom mintának)
2 db szerszám menesztő","08.25. csapágy megjött, szíjtárcsa kiküldve Taksonyba mintának",,BÁ,
SZÉV2022-409,TRUE,IMP,08.26.,,0,09.26.,,M18180,DGA,KAFO-NCT BMC-2012,Orsóház elszívó ventilátor - 3db,10-00022020-00,,CsZ,
SZÉV2022-410,TRUE,GYE,08.26.,08.29.,1,,,M16109,GOODWILL-TRADE KFT.,EmR-1200D,Deublin 902-120-188 forgóátvezető,,,BÁ,
SZÉV2022-411,FALSE,GYE,08.31.,,,,,,SZÉV tartalék,,2db Manometro N D.40 1/8R 0-12bar nyomásmérő óra,,,DÁ,
SZÉV2022-412,TRUE,ERA,08.31.,,,10.27.,,,SZÉV tartalék,,"5db Omron SHL-Q2155 végálláskapcsoló,
5db Omron D4MC-5000 végálláskapcsoló, 
5db Omron SHL-Q2255 görgős végálláskapcsoló","Megjött: -5db Omron SHL-Q2255 görgős végálláskapcsoló
-5db Omron D4MC-5000 végálláskapcsoló,
y",,DÁ,
SZÉV2022-413,TRUE,GYE,09.01.,,,09.15,,,SZÉV tartalék,,pneumatikus elemek pótlása,,,DÁ,
SZÉV2022-414,TRUE,LOG,09.01.,,0,09.01.,2022/000000886,M12079,SANATMETAL KFT.,VD-510S,1 db AiB2.5-54-40-EH/E-Z1 (40-00011047-60),,,BÁ,
SZÉV2022-415,TRUE,GYE,09.01.,,0,09.07.,,M12079 / M12070,SANATMETAL KFT. / PETRUS,VD-510S,2 szett szerelési öá: 100294410 ,"Motorok megvannak, csupán a mechanikus anyagokat kérjük",,BÁ,
SZÉV2022-416,TRUE,GYE,09.01.,10.26.,0,,,M19023 / M19073,NIVELCO ZRT.,TCS-2500L / DUAL-65,R2022/00198 teljesítése,Telefonon megbeszéltek alapján,,BÁ,
SZÉV2022-417,TRUE,GYE,09.01.,,1,,,M18253,SL-FORG,MSL-200,1 db KOSOKU VPE-F20B-X-10 szivattyú,->IMP,,BÁ,
SZÉV2022-418,TRUE,GYE,09.01.,,0,,,M18183,PANNON-SPIRÁL KFT.,VMC-1600F,"4 db HS7014-C-T-P4S-UL
1 pár 7209 CTR DUL P3
1 db 6207-2Z-CNM",,,BÁ,
SZÉV2022-419,FALSE,GYE,09.01.,,,,,,SZÉV tartalék,,"relék: 5db Omron K8AK-PW2
- 5db Omron K8DT-PM2CN
- 5db Omron H3DK-M1",,,DÁ,
SZÉV2022-420,FALSE,GYE,09.02,,,,,M14247,PROCAM,MM-1000S,szerszámcserélő kar,Tár:24poz.karos(DIN40),Nincs kar MM-1000 géphez - IMP,CsZ,
SZÉV2022-421,TRUE,GYE,09.02.,,1,09.13,,M07327,KOKILLA PREC KFT.,Jinnfa JCL-60-AHD,"1 db szerszám hajtó motor szíjtárcsa, rsz: 560250180",,,BÁ,
SZÉV2022-422,TRUE,Babett,09.05.,,0,,,M13243,BÍRÓ KFT.,TAJMAC.ZPS.H400.MMK-004,4 db Paletta ülék,,,BÁ,
SZÉV2022-423,TRUE,LOG,09.05.,,1,09.05.,2022/903,M18087,IGM ROBOTRENDSZEREK KFT.,MAZAK FJV-20,1 db 60/120RT,,,BÁ,
SZÉV2022-424,TRUE,IMP,09.05.,,0,,,-,SZÉV tartalék,MM760," Főorsó melletti szelep,10-00026826-00 - 5db",,,CsZ,
SZÉV2022-425,TRUE,GYE,0905.,,0,09.07.,2022/000000910,-,SZÉV tartalék,-,8 db 20 TAC 47 BSUC10PN,,,BÁ,
SZÉV2022-426,TRUE,GYE,09.07.,,0,09.09.,,M11257,GRIF-TOOLS KFT.,SMART-42,T-horony anya,csatolva képek,ok,CsZ,
SZÉV2022-427,TRUE,LOG,09.07.,,1,09.09.,2022/928,M05122,SBS KFT.,6B443,1 db A22-54-20-EH/4096-Z1 40-00000626-00,,,BÁ,
SZÉV2022-428,FALSE,GYE,09.09.,,,,,,SZÉV tartalék,,Pál Ignác szerszámok,,,DÁ,
SZÉV2022-429,FALSE,GYE,09.09.,,,,,,SZÉV tartalék,,szerszámok,2db oldalcsípőfogót még várunk,,DÁ,
SZÉV2022-430,TRUE,GYE,09.09.,,,,,-,SZÉV tartalék,,Mágnesszelep vízhez,10-01000175-00 + 10-01000251-00 (5+5),ok,CsZ,
SZÉV2022-431,TRUE,GYE,09.12.,,1,09.16.,,M12002,TS HUNGÁRIA KFT.,VL-100C,8 db 13-5V710 Polyflex ékszíj,,,LR,
SZÉV2022-432,TRUE,IMP,09.12.,,1,SZTORNÓ!,,M10012,NEUMANN JÁNOS EGYETEM,EmR-850D 5AX,GSA CNCT-202RB alkatrészek,,"ÜF elvitte romokban, GTK",BÁ,
SZÉV2022-433,FALSE,Babett,,,,,,-,SZÉV tartalék,KAFO KMC-4122 - HABOR HA-260A,HABOR FP-108EX S1-B ventilátor,,,CsZ,
SZÉV2022-434,FALSE,GYE,09.13.,,0,,,- ,SZÉV tartalék,Tomill-250,"8 db 6204 A 2RS
8 db 51204 A",,,BÁ,
SZÉV2022-435,FALSE,IMP,09.13.,,0,,,M15173,VÁRDA FERRO IPARI KERESKEDELMI SZOLGÁLTATÓ KFT. ,EmB-1605G,1-1 db szerszámvátó kar (DIN50 és BT50),,,BÁ,
SZÉV2022-436,TRUE,GYE,09.13.,,,09.16.,,,SZÉV tartalék,,ajtó gumi ütköző ,,,DÁ,
SZÉV2022-437,TRUE,IMP,09.14.,,,09.29,,-,METALFORG-TEC KFT.,-,T-alakú olaj elosztó (0.3-ös adagolóhoz),,,CsZ,
SZÉV2022-438,TRUE,GYE,09.15.,,0,,,M14167,CZETEC,HG-400,"Deublin ""1109-044-212""",Valószínűleg lemaradt az elején egy '1'-es,ok,CsZ,
SZÉV2022-439,FALSE,IMP,,,,,,M13179,MED-PLAST 2000 KFT.,VD-510S,Motor (SVM-90L) ventillátor,(10-00033257-00) UF-15KM23,,CsZ,
SZÉV2022-440,TRUE,GYE,09.19.,,,,,,SZÉV tartalék,,5db LC1D12 mágneskapcsoló,"""""1-et tudok küldeni,ennyi van összesen.""""",,DÁ,
SZÉV2022-441,TRUE,GYE,09.20.,,0,09.21.,,M15292,SZÉV / KER,GLORIA,6 db 7304 B TVP UO,,,BÁ,
