Beérkezés dátuma,Kiküldés dátuma,Cég neve,Géptípus,Megnevezés,Bejelentett hiba,Elvégzett munka (szervizlapra írandó),Megjegyzés,Telephelyi Munkaidő,"Tervezési
 feladat",Beszerzett alkatrészek,Anyagktg. (nettó beszerzési árak!),"Mérési 
eredmények",Kész - 1
2020.04.23.,2020.04.24.,Gia Form (SZÉV tartalék),EmR-610D (M17053),30 bar-os szivattyú + motor,zörög,"Szétbontás, átvizsgálás, tömítések, csapágyak cseréje, összeépítés","SZÉV tartalék, ÜF kapott cseredarabot",Belencsák: 4 óra,-,"Csapágyak:
- 1 db 6003 ZZ (szivattyú)
- 1 db 6204 ZZ
- 1 db 6205 ZZ
- 1 db 6301 ZZ (szivattyú)
Szimmering:
- 2 db 17x35x7
- 1 db 15x32x7","1294,68",-,1
2020.02.17.,2020.04.02.,NCT Taksony (Gróf és Társai Kft. (Sonima Kft.) ),JCL-52TSM (JCL-YTS) (M19044),AMS180 11 kW A2-6,Összeépítés,"Alkatrészek ellenőrzése;
Főorsóra építendő gyűrűk, forgórész illesztése, becsiszolása
Főorsó + forgórész együttes kiegyensúlyozása
Összeépítés, egyensúlyozás egyben, ütések, feszesség visszaellenőrzése",A főorsó tengelyt újra kellett köszörülni,,-,-,-,-,1
2020.02.17.,2020.04.01.,NCT Taksony (Königin-Trade Kft.),JCL-75ABMs (M19045),AMS180MW20H (A8-75) 11 kW A2-8,Összeépítés,"Alkatrészek ellenőrzése;
Főorsóra építendő gyűrűk, forgórész illesztése, becsiszolása
Főorsó + forgórész együttes kiegyensúlyozása
Összeépítés, egyensúlyozás egyben, ütések, feszesség visszaellenőrzése",A főorsó tengelyt újra kellett köszörülni,,-,-,-,-,1
2020.03.26.,2020.04.14.,Mill-Turn,Deckel DMC-63V,Siemens 1PH7107-2NF02-0LJ0 12.000 rpm,Főmotor javítás,"Tisztítás, szétbontás, kemencézés (be volt ázva), csapágyazás, összeépítés, járatás, egyensúlyozás",,"Belencsák: 4 óra
Smici: 4 óra
Rákosréti: 2 óra",-,"Csapágyak:
- 2 db SNR 6208 HV
Jeladó:
- 1 db HDH 1381 2048 [ID: 635066-56]
Ventilátor:
- 1 db Baumüller DAF100 [10-00027229-00]",,-,1
2020.04.07.,2020.04.08.,Bíró Kft.,Tajmac (M13243),"Szerszámtár mozgató pneum. munkahenger
(SMC CP95SSDB50-320)",munkahenger ereszt,"munkahenger kibontása, tisztítás, szétszerelés, tömítések gyártatása, összeépítés",,Belencsák: 3 óra,-,"Seal Ring:
- 2 db O-gyűrű 47x1,5 NBR70
- 1 db K17 50x40x3,5 NBR
- 1 db AD53 20x28,6x5,3/7 NBR90",2343 Ft + ÁFA,-,1
2020.04.03.,2020.04.08.,Brooks Instruments,Index GS-65 (M16199),HPB VM132L főmotor,Főmotor csapágyas,"Motor külső tisztítása, szétbontás, csapágyazás, összeépítés, egyensúlyozás, járatás",,"Tóth I.: 4 óra
Rákosréti: 2 óra",-,"Csapágyak:
- 2 db NSK 6309 ZZ
Jeladó:
- 1 db Tamawaga SIN TS6058 [21-2731]",,-,1
2020.03.16.,2020.04.01.,Poliol Pet,EmL-610 (M08048),HDH QAN-200U (12.000 rpm),Motor melegszik,"Motor alapos tisztítása, szétbontás, csapágyazás, összeépítés, egyensúlyozás, járatás",,"Belencsák: 6 óra, Rákosréti: 2 óra",-,"Csapágyak: 
- 1 db (1 pár) GMN S6208 C TXM P4 UL, 
- 1 db NSK 6206TCG12P4",,-,1
2020.03.20.,2020.03.25.,Gia Form,EmR-610D (M17053),Royal 15.000 rpm főoró,Főorsóval ütköztek,"Szétbontás, tisztítás, csapágyazás, összeépítés","Kúpot köszörülni kéne, ÜF nem kérte;
Munkahenger rendben
Rugóköteg rendben",Belencsák: 8 óra,-,"Csapágyak:
- 4 db SKF 7012 CEGAT
O-gyűrű:
- 5 db G110 (109 x 3,1)
- 1 db 29,78 x 1,78",,,1
2020.03.02.,2020.03.24.,Dendrit Veresegyháza,Kondia B640 (M15245),Főorsó (6.000 rpm),Szerszám beszorul,"Szétbontás, főorsó kúp köszörültetése, tisztítás, csapágyazás, összeépítés",,Gulyás: 8 óra,-,"Csapágyak:
- 2 db NSK 7010CTRSULP3
- 2 db NSK 7012CTRSULp3
Tányérrugók:
- 56 db 31,5x16,3x2 
Köszörülés:
- 1 db SK40",Losonczi főorsó köszörülés nettó beszerzési ára 420 EUR,-,1
2020.03.05.,2020.03.23.,Log Valve,TNL-120AL (M06180),Főorsó,"Főorsó szorul, kattog","Főorsó szétbontása, csapágyak leszerelése, alkatrészek tisztítása, tömítések cseréje, új csapágyak felszerelése, összeépítés",,"Gulyás: 6 óra
Táti: 6 óra",-,"Csapágyak:
- 1 db NSK NN3021 MBKRE44CC1P4; 
- 1 db NSK NN3024 MBKRE44CC1P4; 
- 1 db 120BTR10 ETYNDBLP4A  
Szíjak:
- 2 db 11MS-2180 3 pályás
- 1 db 390L 1/2""
Tömítések:
- 1 db O-gyűrű G190
- 1 db O-gyűrű G200",,-,1
2019.11.05.,2020.03.17.,Biotech Hungary,Kondia B640 (M08321),Főorsó 6.000 rpm szíjas,Jeladó szíjtárcsa csere,"Szétbontás, régi csapágyak lefűzése, állapotfelmérés, tányérrugók cseréje, kúp köszörülés, új csapágyak felfűzése, új jeladó szíjtárcsa beépítése, főhajtás szíjtárcsa csere!","Az orsó csapágyas!
A külön konzolra szerelt jeladó szíjtárcsa profilja teljesen elkopott, új szíjtárcsát kellett gyártatni",Smici: 8 óra,-,"Csapágyak:
- 2 db NSK 7012CTRSULP3
- 2 db SKF 7010ACDGA/P4
- 2 db SNR 6002 ZZ (jeladó konzolba)
Szíjtárcsák:
- 1 db főorsó jeladó szíjtárcsa B50-4008 (z=40, d=60) [10-8970]
- 1 db jeladó szíjtárcsa (z=40, d=20) [00-70049882-00]
- 1 db főorsó főhajtás szíjtárcsa AT10 (10-26670)
Tányérrugók:
- 56 db 31.5x16,3x1,25mm
Menesztő diók:
- 1 db [00-10037693-00]
- 1 db [00-10037694-00] 
Deublin:
- 1 db 1109-020-188
Szíjak:
- 1 db AT10-780 főhajtás szíj
- 1 db 550-5M-9 jeladó szíj
Kúpköszörülés:
- 1 db SK40 Losonczinál
Jeladó:
- 1 db HDH ROD 426 1024 (id: 376 846-1E)","- Kúpköszörülés (Losonczi) 420 EUR
- csapágyak;
- jeladó;
- szíjak;
- szíjtárcsák","behúzóerő: 6,4 kN",1
2020.02.13.,2020.03.17.,Grif-Tools,EmR-1020E (M14095),Főmotor (HPB VM100L S/N: 13120621F) és Főorsó (12.000 rpm),főorsónak rendellenes hangja van,"Motor: mosás, megbontás, csapágycsere, összeépítés, funkciópróba, járatás
Főorsó: szétbontás, kúp köszörültetés, csapágyazás, rugóköteg csere, összeépítés, hézagok, ütés ellenőrzése","Főorsó rossz állapotban van, felújítás szükséges (köszörülés, csapágyazás)
ÜGYFÉL CSEREMOTORT KAP:
- S/N: 15121455H1 (Marton CNC-é volt, felújított motor)","Smici: 8 óra
Belencsák: 4 óra",-,"Motor CSAPÁGYAK:
- 1 db NTN 6308 T2X5C3P5
- 1 db NTN 5S-6207M8C3P5 
Főorsó csapágyak:
- 4 db FAG HCS7014-C-T-P4S-UL
Tányérurgók:
- 56 db Do=40 Di=20,4 t=2,5
Szíjtárcsák (5GT):
- 1 db főorsó 
- 1 db főmotor","- Kúpköszörülés (Losonczi) 420 EUR
- csapágyak: 80 + 100 EUR
- szíjtárcsák
- felújított motor",-,1
2020.03.04.,2020.03.10.,SPH Plusz Kft.,VMC-1688 KAFO (M14285),HPB VM132S,Átvizsgálás,"Szétbontás, átvizsgálás, csapágyak cseréje, összeépítés, funkciópróba",,Ádám: 8 óra,-,"Csapágyak:
- 1 db 6307 C3 ZZ
- 1 db 6309 C3 ZZ
Jeladócsere:
- 1 db Tamagawa TTL1024
Ventilátor:
- 1 db HPB VM132S ventilátor",,-,1
2019.11.13.,?,Békéscsabai SZKI,Miniturn,EVIG EZG705-0-101,"csapágyazás, állandó mágneses állórész csere","átcsapágyazás, állórész mágnes köpeny cseréje (eredeti mágnese gyenge)","Ha tudjuk a költséget, ajánlatot kell róla küldeni (Veres Erika 11.27. levele alapján)",,-,"Csapágyak:
- 2 db SKF 6203 ZZ C3 ",,,
2020.02.06.,2020.02.27.,Grif-Tools,Smart-42 (M11257),"Sokszögesztergáló
(NCT Ai05-54-40-EH/4096-Z1",fordulatszám ingadozási hiba,"Szétbontás, átvizsgálása, csapágyak kibontása, tisztítás, összeépítés",Új motor is kell: C83-10-8979,Smici: 3 óra,-,"Csapágyak:
- 2 db B7007-E-2RSD-T-P4S-UL FAG
Motor:
- 1 db NCT Ai05-54-40-EH/4096-Z1
Elektromos anyagok:
- 1 méter kábelvédő anakonda
- 1,5m motorkábel 4x0.75 fémszövött + Intercontec 4 pólus
- 1,5m jeladókábel TTL 10x0.14+2x0.5 + Intercontec 12 pólus
- 1 db Harting motor modul
- 3 db jeladó modul, 
- 16 db 0.14 jeladó Stift apa, 
- 5 db 0.75 motor Stift apa
- 2 db anakonda fém tömszelence",Csapágyak: 75.000,-,1
2019.12.06.,-,Frigo-Metal,"KAFO-NCT SV-1000 (pályázatos név:EML-1020E
(M18303/P19107)","AiS 100-LW 26 H 15.000 rpm
(Sn: CC2-10-5012)",Motor zörög,"12.06. motor beszállítása NCT-be
lecsupaszítás, Csapó elszállítja",,,-,,,,
2019.10.24.,-,Steelforg,EmR-1020D (M11075),"AiS100-LW 15 H 10.000 rpm
(SN: 2011-032)","Beázott, zárlatos, csapágyas","eredeti motor átalakítása
Elvégzendő feladatok: újratekercselés (Déva), átcsapágyazás, összeépítés (Csapó), tartozékok ráépítése, egyensúlyozás, járatás","Ügyfél cseremotort kap:
AiS100-LW-26H
SN:CC2-10-5019
11.18.: Juhász átalakította a köpenyt az új pajzshoz, a motort tekercselni szükséges",,-,"Deublin:
- 1 db 1109-020-188 hűtőbordás
CSAPÁGYAK:
- 1 pár SKF S7208 CDGA/HCP4A
- 1 db SLF 6206 TB.P63
Jeladó:
- 1 db Lenord Bauer GEL2444TN1G",,-,
2019.10.22.,2019.10.25.,Variatrade International Kft. (Mobilinter),"EmR-1020D
(M18041/P18042 [M11299])","AiS100-LW 15 H 10.000 rpm
(SN: 2012-044)",Motor zárlatos,"10.22. jeladó, kuplung, klímacsatlakozók lebontása az eredeti motorról; motor előkészítése szállításra Csapóhoz+Dévaványához","Ügyfél felújított cseremotort kap:
AiS100-LW-20H
SN:2010-016
11.18.: Juhász átalakította a köpenyt az új pajzshoz, a motort tekercselni szükséges",,-,"CSAPÁGYAK:
- 1 db NSK 6206TCG12P4, 
- 2 db (1 pár) GMN S6208 C TXM A7
JELADÓ:
- 1 db Lenord-Bauer GEL2444TN1G 3K030
Deublin:
- 1 db 902-120-188",,-,
2020.01.31.,2020.02.26.,Trimble,VD-510S (M11110),"Solpower SVM-90L-20
12.000 rpm
(S/N: 110601051)",Villamos és mechanikus átvizsgálás,"Motor kiküldése mosásra;
Motor visszajött mosásról;
Szétbontás, csapágyak cseréje, összeépítés, egyensúlyozás kuplunggal, járatás",Átütést túlélte a tekercs,"Smici: 4 óra
Rákosréti: 4 óra",-,"Csapágyak:
- 2 db NTN 6206 T2X2.LLB.C3/ L051QTK",,,1
2020.01.24.,2020.02.26.,Trimble,VD-510S (M11110),Főorsó 12.000 rpm (nem CTS),Szerszámoldás hiba,"Orsó szétbontása, rugóköteg cseréje, főorsó kúpköszörülés, csapágyak cseréje, tömítések cseréje;
Behúzóerő megmérése: megfelelő","A szerszámtartó be volt szorulva a kúpba, tartó kiszabadítása","Smici: 4 óra
Gulyás: 4 óra",-,"Csapágyak:
- 4 db FAG HCS7008-C-T-P4S-UL
Tányérrugók:
- 56 db 28x12.2x1.5
Kuplung kereszt
- 1 db zöld GS38",,Behúzóerő: 4.6 kN,1
2020.02.06.,2020.02.20.,Metrimed,MSN-400 (M030040),GSA CNC-201L,osztófej nem rögzít;körasztal hátuljánál nagy tárcsa alól szökik a levegő,"Szétbontás, tisztítás, állapotfelmérés; tömítések cseréje, összeépítés, geometria ellenőrzése mérőórával, hézag beállítása",,Belencsák: 5 óra,,"Tömítések:
- 1 db P7 (6,8 x 1,9)
- 1 db G80 (79,4x5,70)
- 1 db G155 (154,8x5,70)
- 1 db 165x2 O-gyűrű
- 60x70x5/6 rúdtömítés",,-,1
2020.02.06.,2020.02.19.,Schunk Carbon,Klopp (VI.),Baumüller VDOKFF 132,Motor csapágyas,"Tisztitás, szétbontás, átcsapágyazás, jeladó bevizsgálása, összeépítés, egyensúlyozás, funkciópróba, járatás ",,"Smici: 5 óra
Ádám: 5 óra",-,"Csapágyak:
- 2 db FAG 6210 C3
- 1 db FAG NU210E",,-,1
2020.01.31.,2020.02.17.,B-Metal,SUI-63 (M15077) (M18107/P18085),Revfej,"leültetési, váltási hibák","Szétbontás; a fogaskerekek közé bekerült egy csavar, amiatt akadt össze;
a tömítések eresztettek, O-gyűrűk, karmantyúk cseréje;
összeépítés, funkciópróba",,Smici: 20 óra,-,"Végálláskapcsoló:
- 1 db Z15G1306 15A 125/250 VAC
Tömítések (Seal Ring): 
- 1 db 15,80 x 2.40 NBR70 O-gyűrű
- 4 db 20x2 NBR70 O-gyűrű
- 2 db 40x6 NBR70 O-gyűrű
- 1 db 30 x 5 NBR70 O-gyűrű
- 2 db KN/SN25 28x36x5 rúdtömítés
- 1 db 78 x 2,5 (82 x 2 kéne)
Hézagoló alátét (Szögker):
- 1 db d32xD45x0.5",,-,1
2020.01.24.,-,Esztergomi Szerszámgépgyár,Wotan,Demag kismotor,kipróbálni,"Hulmány vizsgálja meg; a tengelyvég sérült, görbe, villamosan a motor jó;",Motort külsős partner bevonásával újítjuk fel,Smici: -,-,-,Villtek ?,-,1
2020.02.07.,2020.02.12.,Magyarmet,EmR-1020D,"Szerszámoldó munkahenger (hidraulikus, nem nyomórudas)",Szerszámoldás hiba,"Munkahenger szétbontása, tisztítása, tömítések cseréje, levegőszelep cseréje, összeépítés, funkciópróba",,Smici: 4 óra,-,"Tömítések:
- 1 db G90 (89,4 x 5,7)
- 1 db 30x2,5 O-gyűrű NBR70
- 2 db 30x40x6 rúdtömítés
Szelep:
- 3/2 24V Mindman MVSC-300-4E1",Seal RIng,-,1
2020.02.04.,2020.02.10.,Zömbik,EmL-800D (MM-850SS) (M18107/P18085),Főorsó 15.000 rpm (S/N: 375051),Orsó csapágyazás,Orsó szétbontása; az orsóval nagy valószínűséggel ütköztek; Ügyféllel való megállapodás után csak az első csapágyak lettek cserélve,,"Smici: 8 óra
Ádám: 8 óra",-,"Csapágyak:
- 2 SKF 7012 CEGAT/HCVQ253_S",,-,1
2020.01.31.,2020.02.07.,Magyarmet,EML-510CNC-NCT5 (M08130),Szerszámoldó munkahenger,Nem tartja a nyomást,"Munkahenger szétbontása, tisztítása, karmantyúk, tömítések cseréje;
Nyomáspróba a présen: 7 tonnát fejt ki, a nyomást tartja",,Smici: 4 óra,-,"Tömítések:
- 1 db 40x3 nbr70
- 1 db sni39 40x50x06/7 (tti/l) 
- 1 db kn/sn25 14x22x05/6 (ttu) ",,Nyomóerő: 7 kN (7 tonna),1
2020.01.28.,2020.01.28.,Schunk Carbon,Klopp (M16276),"HPB VM132L 6.000 rpm
(S/N: 160825104G)",motor csapágyas,"Szíjtárcsa átszerelése rossz motorról, motor kiegyensúlyozása, járatása;
Régi motor felújítása: új csapágyak, új jeladó, alapos mosás, járatás","Ügyfél cseremotort kap:
S/N: 17110828G
Régi motorra ráégett a csapágy","Smici: 3 óra
Rákosréti: 2 óra",-,"Csapágyak:
- 2 db SKF 6309 ZZ C3
Jeladó:
- 1 db Tamagawa TTL1024",-,-,1
2020.01.23.,2020.02.05.,Petrus,TMV-850A (M07361;M18020),Szerszámoldó rugó,Szerszámoldás hiba,"Szétbontás, átvizsgálás;
a menetek sérültek, a szerszám kilökő csap felülete kopott, pittinges, cserére szorul;
menetek felszabályozása menetmetszővel
A kilökő csapot az Ügyfél legyártotta magának",A szerszámkilökő csapot le kell rajzolni gyártáshoz,Smici: 1 óra,Fűz Zoli (3 óra),"Menetmetsző:
- 1 db M16 x 1.00 (Fairtool)",,-,1
2020.01.09.,2020.01.31.,Sanatmetal,EmR-1200M-5HTA billenőfejes (M14165/P17001),"Microlab M4-RMSC DIN40 Orsómotor
(15 000 rpm) 
[S/N: 0703-159]","Csapágyas, orrán-száján folyik az olaj","Orsó szétbontása, átvizsgálása; a forgóátvezető ropog, a csapágyakban alig vagy egyáltalán nem volt zsír, a motor rész is belül olajos mindenhol. Az állórész tekercset megvizsgáltuk átütés vizsgálóval, kibírta. A munkahengert felújításra kiküldtük Ricsinek. A munkahenger feletti küblibe 3 csavar beleszakadt. Ezt a küblit Csapónak kiküldtük javításra.
Főorsó újracsapágyazása, összeépítése, újrakábelezés, forgóátvezető cseréje.",,"Smici: 32 óra
Rákosréti Józsi: 8 óra",-,"Csapágyak:
- 1 pár SKF 7010 CEGA/HCP4A
- 1 pár SKF 7013 CEGA/HCP4A
Forgóátvezető:
- 1 db Rotoflux A08-1501-05L","Ricsi (munkahenger)
Csapó (betőrt csavarok kiműtése)",,1
2019.10.10.,2020.01.15.,Vivber Kft.,Kondia HM1060,Szerszámtartó konzol + tárcsa,Konzol kettétört,"Új konzolöntvény beszerzése, szerszámtartó tárcsa átvizsgálása, törött szerszámtartó zsebek és rugók cseréje, egység összeszerelése",,Smici: 2 óra,Akai Gabi,"- 1 db tár öntvény (Berkoa)
- 4 db ISO40 szerszámtartó betét
- 4 db szerszámbetét rugó",,-,1
2020.01.14.,2020.01.22.,Hanon Systems,EmL-510B (M17110),Royal 10.000 rpm DIN40 5GT szíjas főorsó,Csapágyazás,"Szétbontás, tisztítás, csapágyak lefűzése, új csapágyak beépítése, összeszerelés",kúpköszörülés nem volt,Smici: 8 óra,-,"Csapágyak:
- 4 db FAG B7012-C-T-P4S-UL
Szíj:
- 1 db 695-5GT-30",,-,1
2020.01.07.,2020.01.17.,Draft 2000,EmL-610 (M17265),Főorsó (10 000 rpm),Menesztődió csavar beleszakadt,Orsó beszállítása telephelyre; orsó szétbontása a cspágyak rongálása nélkül; orsókúp javíttatása; főorsó összeszerelése,Csapó megpróbálja kiszikrázni,"Smici: 8 óra
Csapó: 10 óra min",-,"Szíj: 
1 db 830-5GT-30",Csapó: szikrázás,-,1
2019.12.16.,2020.01.13.,Huonker,JSL-32ABMs (M18126/P18088),Főorsómotor (7.000 rpm),csapágyazás,"Szétbontás, átvizsgálás, a csapágy kosár eldarálódott",Katalógus adatok szerint a csapágyak fordulatszám szempontjából alulméretezettek voltak (NSK 7013A / 7015A),24 óra,-,"Csapágyak:
- 1 pár FAG B7013-E-T-P4S-UL
- 1 pár FAG B7015-E-T-P4S-UL
Szíjak:
- 1 db 710-5M-25 
- 1 db 740-5M-15","Pannon Csapágy:
77.664 Ft + 111.630 Ft",-,1
2019.12.12.,2019.12.19.,Albert Forgácsoló,TMV-510 (M06247),Munkahenger,Munkahenger felújítás,"Munkahenger szétbontása, tömítések gyártatása (Seal Ring)",,,-,"Tömítések (Seal Ring)
- 3 db K6 30x40x06 PU dugattyú tömítés 
- 1 db K17 80x65x5,5 NBR (lapos, loversenypálya keresztmetszetű)",6540,-,1
2019.12.04.,2019.12.12.,Petrus,TMV-850A (M07361;M18020),Baumüller DAF100 főmotor (Sn: 20736837),Motor csapágyas,"Tisztítás, szétbontás, átcsapágyazás, új jeladó beépítése, összeszerelés, festés, egyensúlyozás, járatás",,8 óra,,"Csapágyak: 
- 1 db SKF 6306 ZZ C3, 
- 1 db FAG 6209 ZZ C3 
Jeladó: 
- 1 db HDH ERN 1320 1024 (id: 385423-18)
Egyéb:
- 3 pár 38-as ringfeeder ",,-,1
2019.12.05.,2019.12.06.,Dr. Varga Tamás EV,SC-32 (M13271),VDI-20 Hajtott szerszám,Egység beázott,"Szétbontás, átvizsgálás, tisztítás, csapágycsere, tömítés csere, összeépítés",Az egyik alkatrészt át kellett munkálni és hornyot kellett bele esztergálni O-gyűrűnek,Smici: 4 óra,-,"Csapágy:
- 1 db SKF 61806 2RZ
O-gyűrű:
- 1 db 15x2",,-,
2019.11.29.,2019.12.04.,Petrus,TMV-850A (M07361;M18020),Főorsó 8.000 rpm,Főorsó megszorult,"Szétbontás, régi csapágyak lefűzése tisztítás, új csapágyak beépítése, tömítések cseréje, összeépítés",,Smici: 8 óra,-,"Csapágyak:
- 4 db NSK 70BNR10HTYNSUELP3
- 1 db NSK N1012BTKRCC1P4
Szíjak:
- 2 db 1000-5MGT-30",,"6,5kN",1
2019.11.29.,2019.11.30.,SL Manufacturing,Strigon MC-2100,EZG730-2-203,Csapágyazás,"Motor szétbontása, átcsapágyazás, összeépítés",Pincéből felhozott motor! ,Smici 4 óra,-,Csapágyak: 2 db SKF 6207 ZZ C3,,,
