Sorszám,Kész,Munkaszám,Beérkezés,Ki hozta be?,Kiszállítás / Elkészülés,Megrendelő,Géptípus,"Gépépítőelem 
megnevezése","Gépépítőelem 
típusa","Gépépítőelem 
sorozatszáma",Hibajelenség,Mechanikus munka,Elektromos munka,Dolgozó(k),Telephelyi munkaóra,"Gépészeti 
 munka", Mechanikus anyagok, Elektromos anyagok," Külsős megbízásos munkák, beszállítók","Tartozékok, megjegyzés",fiz/gar,✓,
TH0013,0,M10116,2020.10.14.,,2020.11.19.,VARRIVÁL KFT.,VMC-1600F,"Főorsó
Főmotor","ROYAL DIN#40 10.000 RPM
AiS 132",,"Főorsó, főmotor csapágyazás","Főorsó: orsó bontása, tisztítása, orsókúp köszörültetése, csapágyak cseréje, rugóköteg cseréje, szíjtárcsa csere;
Főmotor: csapágyazás, új szíjtárcsa átmunkálás + csere, egyensúyozás, erősáramú sorkapcsok (5 db) cseréje, PG-21 gégecső 0,7 m, 2 db PG21 karmantyú + anya",,"Schmiedmeiszter P., Rákosréti J.",16 + 4 óra,-,"Csapágyak:
- 4 db FAG HS7014-C-T-P4S-UL (főorsó)
- 2 db FAG B7209-C-T-P4S-UL csapágy (főmotor) 
- 1 db IBC 6207 TB P4A2H (főmotor)
Szíjtárcsák:
- 1 db főorsó [10-00033142-00]
- 1db főmotor (átmunkált - Gyenizse)
Szíj:
- 1050-5MGT-50 szíj [10-10004185-00]
Forgócsatlakozó:
- Deublin (902-120-188) forgócsatlakozó 10-00002612-00
Jeladó:
-Lenord Bauer Gel2444
Tányérrugók:
- 56 db 40.00 x 20.40 x 2.50
O-gyűrűk:
- 4 db G140 (139,4 x 3,1)
Egyéb:
PG-21 gégecső 0,7 méter
2 db PG21 karmantyú + anya",,FÉMÓ Kft.,,,,
TH0014,0,M12282,2020.10.21.,,2020.11.18.,ELIN METAL,IR1250F40 orosz horizont,Motor,"orosz ""Z""",,motor kiváltás,"Eredeti motor lemágneseződött: kiváltás NCT motorra, motortartó lap gyártása szükséges
Új motor: NCT Ai15-30-54-EH/4096 sima hengeres

Eredeti motor felmérése gépész tervező által;
motor adapter lap gyártása, új kuplung illesztése",,"Schmiedmeiszter P., Rákosréti J.",,Muzsek René,"2 db M-típus holtjátékmentes körmös kuplung piros betéttel (19/35) (Powerbelt)
1 db [70056824-00] adapter lap gyártás (Amplus + N+K)",1 db NCT Ai15-30-54-EH/4096,"Amplus Kft.
N+K Kft.
Powerbelt",,,,
TH0015,0,M16148/P18194,2020.10.22.,,2020.10.29.,METARAD CNC KFT. ,Slovtos S-280,Főorsó,4.000 RPM,,Főorsó csapágyazás,"Hibakeresés, bontás, tisztítás, új csapágyak felszerelése",-,"Ömböli Z.,
Schmiedmeiszter P.",4 + 4 óra,-,"Csapágyak:
- 3 db FAG B7015-E-T-P4S-UL
- 1 db FAG NN3014-D-K-TVP-SP-XL",-,Pannon Csapágy,226.821 Ft (Pannon Csapágy),,,
TH0016,0,M06118,2020.10.22.,,2020.10.28.,MEDIMETAL KFT.,TMV-510,Munkahenger,Lég-olajos Hinaka APF-0807N70cc,,Munkahenger nem engedi el a nyomást,"bontás, tisztítás, tömítések gyártatása, cseréje, összeépítés",-,"Schmiedmeiszter P., Ömböli Z.",1+1 óra,-,"Tömítések:
3 db KN/SN25 30x40x06/07 AU92
1 db GY K17 80x65x5,5 NBR
1 db O-gyűrű 80 x 2 NBR70
1 db O-gyűrű 24 x 3 NBR70
1 db O-gyűrű 48 x 3,5 NBR70",-,Seal Ring,-,,,
TH0017,0,M14229,2020.10.29.,,2020.11.27.,METARAD CNC KFT. ,TCS-1500,Revfej,BARUFFALDI TBMA-200,,revolverfej javítás,"revolverfej első pajzsok, fogaskerekek, fogaskoszorú, hajtott szerszám egység lettek behozva SZÉV-be. Az alkatrészek felülete több helyen erősen korrodált, kráteres, a csapágyak eltömődtek, megszorultak. Új hajtott szerszám alkatrészek (kuplung, fogaskerék, tömítések), fogaskoszorú csapágykosár+ hengergörgők csere + egyéb csapágyak cseréje",-,Schmiedmeiszter P.,8 óra,-,"Csapágyak:
- 2 db SKF 16004 (Gördülő Simmering Kőrösi Cs. S. út)
- 2 db SKF 61907 (Gördülő Simmering Nagy L. k. út)
Tömítések (Seal Ring BET2020/03657):
- 1 db O 10,82 x 1,78 NBR70
- 1 db O 34,65 x 1,78 NBR70
- 1 db Gyűrű / O gyűrű 53,7x1,78
- 1 db O 05,28 x 1,78 NBR70
- 1 db O 12 x 1,8 NBR70
- 2 db O-gyűrű 130x2,5
- 2 db O 120,24 x 3,53 NBR70
- 1 db GY K8 31 x 26,1 x 2,3 (fém) FLON3
- 1 db O 24,5 x 2 NBR70
- 1 db GY K8 28 x 23,1 x 2,2 (fém) FLON3
- 1 db O 21,5 x 2 NBR70  
- 1 db GY S9 35 x 43,2 x 3,2 (fém) FLON3 
- 1 db O 37,77 x 2,62 NBR70  
- 1 db GY S9 26 x 31,2 x 2,2 (fém) FLON3
- 1 db O 28 x 2 NBR70
- 2 db S 35 x 47 x 05 RST FPM80
- 2 db  O 245 x 2,5 NBR70
- 3 m O zsinór 01,78 MM NBR70 ",,,,,,
TH0018,0,-,2020.10.29.,,2020.11.12.,LOG VALVE KFT.,TMV-1050A,Főorsó,8.000 RPM,,Főorsó felújítás,"Főorsó: bontás, tisztítás, kúp köszörültetése, csapágyak cseréje,
Első labirintgyűrűből új gyártatása (Juhász)
Behúzóerő: 7,6 kN",-,Schmiedmeiszter P.,10 óra + 4 óra,Muzsek René,"Csapágyak (Tral Trade):
- 2 pár NSK 70BNR10HTV1VDUELP3
- 1 db NSK N-1012-BTKRCC1P4
Gyártás:
- 1 db 70056826-00 - Labirint
Szíj:
- 2 db 1000-EVGT-30
Tömítések:
- 1 db O-gyűrű 12 x 2,5 NBR70
- 2 db O-gyűrű 33x3,5 NBR70
- 1 db O-gyűrű 23,47x2,62 NBR70
- 2 db 144,4x5,7 (G145)",-,Juhász Műhely,-,,,
TH0019,0,M06118,2020.11.02.,,2020.11.11.,MEDIMETAL KFT.,TMV-510,"Főorsó
Munkahenger","CTS 12.000 RPM 
Hinaka HJ2-63N15F kicsi",,"Főorsó remeg, munkahenger ereszt","Főorsó: az orsó végén egymásba csatlakozó, forgó elemek egyengetése
Munkahenger: új tömítések gyártása (Seal Ring)",-,Schmiedmeiszter P.,8 óra,-,"Tömítések:
- O 20 x 4,5 NBR70
- GY K17 63 x 53 x 9,5 NBR
- GY R14 20 x 28 x 1,5/2,2 FLON1",-,Seal Ring,,,,
TH0020,0,M14287,2020.11.02.,,2020.11.13.,DUNA PRECIZIÓS KFT.,EmR-610D,Főorsó,ROYAL 15.000 RPM,212219,Főorsó csapágyazás,"Bontás, tisztítás, csapágyak cseréje, munkahenger felújíttatása",-,"Ömböli Z.,
Schmiedmeiszter P.",4 + 4 óra,-,"Csapágyak (Tral Trade):
- 4 db NSK 60BNR10HTSUELP3
Tömítések:
- 4 db O-gyűrű 119,4 x 3,1 (G120)
Egyéb:
- 1 db MB 1_S körmös alátét",-,Bétabagoly,"Gördülő Simm.:
- 1417,25 Ft
Ricsi:
- 48.640 Ft",,,
TH0021,0,M18303/P19107,2020.11.11.,,2020.11.26.,FRIGO-METAL KFT.,KAFO SV-1000,"Főorsó 
Főmotor","ROYAL BBT-DIN#40 15.000 RPM
AiS 100-LW-26 H 15.000 RPM","-
CC2-10-5017",Orsóval ütköztek,"Főorsó totálkáros, szerszám beszorult a kúpba, a főorsó végén a kuplung megforgott, megszorult;
Főmotor: kuplung cseréje, egyensúlyozás, járatás

ÜF csereorsót kapott:
- 1 db Royal BBT-DIN#40 15.000 rpm (S/N: 396982) + szerelt Rotex GS38 kuplungpár (orsó és motor oldal)
- a motor maradt az eredeti, az jó állapotú",,"Belencsák Á., Rákosréti J.",6 óra,-,"Főmotor:
- 1 db ROTEX GS38 körmös kuplung
- 1 db GS38-hoz zöld kuplung kereszt 10-00003783-00
- 1 db motortengelybe vízbevezető KAFO típ.10-00027041-00",-,,,,,
TH0022,0,M17228/P19020,2020.11.16.,,2021.03.16.,RÁK ÉS RÁK BT.,MXS-300MT,Főorsó,"ROYAL BBT-DIN#40 15.000 RPM
AiS 100-LW-26 H 15.000 RPM",,"Főorsó darál, kattog","Bontás, tisztítás, főorsó kúp köszörültetése, munkahenger felújítása
Orsó készreszerelése",-,Schmiedmeiszter P.,8 óra,-,"Csapágyak:
- 4 db FAG HC7014-C-T-P4S-UL
Tányérrugók:
- 56 db 40x20,4x2,5",-,"Pannon Csapágy
Losonczi
Bétabagoly Kft.","Eredeti főorsó, amivel a gép az ÜF-hez került",,,
TH0023,0,M05089,2020.11.19.,,2021.06.17.,BIOTECH GMBH,Kondia B-640,Körasztal,GSA CNC-201R,0421444 - 2004-10,körasztal szorul; Harting csati cserére szorul,"bontás, átvizsgálás, tisztítás - ez egy romhalmaz összeépítés",,Schmiedmeiszter P.,10 óra,,szétszerelés - hibafeltárás - összeszerelés,,,,,,
TH0024,0,M14287,2020.11.19.,,2020.11.30.,DUNA PRECIZIÓS KFT.,EmR-610D,Főmotor,AiS 100-LW 26 H 15.000 RPM,CC2-10-097,Főmotor csapágyas,"Főmotor előkészítése csapágyazáshoz; főmotor elszállítása FÉMÓ-hoz; csapágyazás; kötődoboz visszakötése, mechanikus szerelvények visszaépítése, motor egyensúlyozása, járatása",Kötődoboz bekötése,"Schmiedmeiszter P., Rákosréti J., Suhajda Sz.",2 óra + 2 óra + 2 óra,-,"2 db Csapágy / SKF S7208 CDGA/HCP4A precíziós golyóscsapágy,10-10012238-00,13z - Műhely csapágyak
1 db Csapágy / 6206 TCG12P4,10-00002765-00,13z - Műhely csapágyak
1 db Tartalék / VL-610 Közvetlen hajtás / Átvezető levegő/víz  Motor és Főorsó között 10-00004359-00 ",-,FÉMÓ Kft.,-,,,
TH0025,0,M13105,2020.11.23.,,2020.12.14.,INDUSTRIEBEDARF KRÜGER GMBH (CZETEC S.R.O.),Euroturn-12C,"Főorsó 
Ellenorsó",,,"Átcsapágyazás, felújítás","12.08.: orsóházak Taksonyban festésre
12.10.: orsóházak Fogarasin, lefestve
12.14. felújított orsók Taksonyban",-,"Schmiedmeiszter P., Ömböli Zoltán",16 + 2 óra,-,"Csapágyak:
2 db FAG B-7016-E-T-P4S-UL (főorsó)
2 db FAG B-7017-E-T-P4S-UL (főorsó)
4 db FAG B-7010-E-T-P4S-UL (ellenorsó)

Egyéb:
1 db 200045171 - Takarógyűrű (főorsó)
1 db 70046466-00 EUT 12C Hajtott kerék csoport (acél)
1 db 200048760 - Szorítófedél (ellenorsó)
1 db 200048850 - Szerelt szíjtárcsa öá (ellenorsó)",-,-,-,,,
TH0026,0,-,2020.11.23,,2021.xx.xx,NCT Taksony,EEN-400,Revfej,BARUFFALDI TBMA-100,,revolverfej felújítás,Tömítések gyártatása Seal Ring-nél,,Schmiedmeiszter P.,24 óra,Fűz Zoltán,"Tömítések:
1 db KPOR30 14 x 09,1 x 02,2 PTFE 30
1 db O 16 x 1,8 NBR70
1 db S 17 x 25 x 04 RST FPM80
10 db O 09,25 x 1,78 NBR70
1 db O 25,12 x 1,78 NBR70
1 db O 30,43 x 1,78 NBR70
2 méter O zsinór 02,00 mm NBR70
1 db O 123,44 x 1,78 NBR70
1 db O 133,07 x 1,78 NBR70
1 db O 94,97 x 1,78 NBR70
1 db O 79 x 1,5 NBR70
1 db O 18,77 x 1,78 NBR70
1 db GY K8 24 x 19 x 2,2 PTFE
1 db O 15,20 x 1,78 NBR70
1 db S9 13 x 17,9 x 2,2 PTFE",-,Seal Ring,"Tömítések: nettó 3887,15 Ft",,,
TH0027,0,M18170,2020.11.25.,,2020.11.26.,MST ENGINEERING KFT.,MXS-300MT,"Főorsó 
Főmotor","POSA BBT-DIN#40 15.000 RPM
AiS 100 15.000 RPM","- 
CC2-10-4018","Szerszámoldás nem működik megfelelően;
Főmotor beázott","ÜF csere motort kapott!
AiS 100-LW 26 H (S/N: CC2-10-5043)

Főorsó: szerszámmegfogó csipesz kibontása, szerszámoldás beállítása;
Főmotor: bontás, pajzsok lebontása, motor újratekercseltetése, csapágyazás, járatás",,"Kovács P.
Gulyás J.
Suhajda Sz.",1 + 4 + 3 óra,-,"Főmotor:
2 db Csapágy / SKF S7208 CDGA/HCP4A precíziós golyóscsapágy,10-10012238-00,13z - Műhely csapágyak
1 db 10-00017845-00  Forgócsatlakozó / Deublin (1114-020-188) forgócsatlakozó",,Liker Motors,,,,
TH0028,0,M21010,2020.11.27,,2022.03.02.,INTERMETALL KFT.,EML-610-4X ,Körasztal,,,"László Márk Sándor hozta be, egyelőre nincs vele feladat - LMS vitte vissza",,,,,,,,,,,,
TH0029,0,M17228/P19020,2020.12.02.,,2020.12.08.,RÁK ÉS RÁK BT.,MXS-300MT,Főorsó,ROYAL BBT-DIN#40 15.000 RPM,331921,"""ÚJ"" Főorsóval ütköztek",Csapágyazás sérült; csapágyak cseréje; kuplung megforgott,-,Schmiedmeiszter P.,10 óra,-,"Csapágyak:
- 4 db FAG HC7014-C-T-P4S-UL",-,Pannon Csapágy,Próbaforgácsolás során keletkezett sérülés,,,
TH0030,0,M04152,2020.12.03.,,2021.01.06.,TOBROCO MACHINERY KFT.,TNL-100A2,Főmotor,BAUMÜLLER DAF 132 L-23A10-5,10402698,Főmotor melegszik,"Motor szétbontása, tekercseltetés szükséges
12.08. Liker elvitte
12.16. Liker visszahozta
12.17. összeépítés új csapágyakkal, új jeladóval, egyensúlyozás, járatás
","Tekercselésre rámérés; az eredeti tekercs zárlatos;
Sérült jeladó kábel cseréje","Schmiedmeiszter P., Rákosréti J.",5 óra + 3 óra,-,"Csapágyak:
- 1 db NTN 6310 ZZ C3
- 1 db NTN 6312 ZZ C3
","Jeladó:
- 1 db HDH ERN 1381 1024 (id: 534118-05)",Liker Motors,Tekercselés: 138.000 Ft,,,
TH0031,0,M19142/P20018,2020.12.11,,2020.12.16.,PLASMA-TECH SYSTEMS KFT.,EML-1200SV,Főorsó,ROYAL 15.000 RPM,415328,"Csúnya felületet csinál, orsó rezgés?","Orsó bontása, átvizsgálása, tisztítás, csapágyak újrazsírzása, távtartók leppelése, összeépítés",-,"Schmiedmeiszter P., Gulyás J.",2 + 2 óra,-,-,-,-,-,,,
TH0032,0,M12263,2020.10.27.,,2020.12.17.,NIVELCO ZRT.,Smart-42,Revfej,BARUFFALDI TBMA-100,,Hajtott szerszám hiba,"Hajtott szerszám dugattyú eltört, csapágy beállt",-,Schmiedmeiszter P.,2 óra,-,"Gyári alkatrész:
1 db dugattyú (€ 290,00)
Csapágy:
1 db SKF 625 2RS
2 db SKF 61903
Tömítések:
1 db KPOR30 14 x 09,1 x 02,2 PTFE 30
1 db O 16 x 1,8 NBR70
1 db S 17 x 25 x 04 RST FPM80
10 db O 09,25 x 1,78 NBR70
1 db O 25,12 x 1,78 NBR70
1 db O 30,43 x 1,78 NBR70
1 db O 18,77 x 1,78 NBR70
1 db GY K8 24 x 19 x 2,2 PTFE
1 db O 15,20 x 1,78 NBR70
1 db S9 13 x 17,9 x 2,2 PTFE",-,Seal Ring,-,,,
TH0033,0,M19168,2020.12.18.,,-,VT-FER KFT.,Boley BC-32 eszterga,Revfej,FL-25,,revolverfej bontás,Taksonyi munkavégzés volt,-,Schmiedmeiszter P.,8 óra,-,-,-,-,-,,,
TH0034,0,M16265,2021.01.11.,,2021.01.18.,S&S CNC FÉMIPARI KFT.,TCS-2500L,Főmotor,HPB VM132M Tamagawa 1024 TTL,16102605G,Főmotor hangos,"Főmotor bontása, csapágyak cseréje",Jeladó cseréje,"Schmiedmeiszter P., Rákosréti J.",6 + 2 óra,-,"Csapágyak:
- 1 db SKF 6307 ZZ C3
- 1 db SKF 6309 ZZ C3","Jeladó:
1 db Tamagawa TTL 1024",Gördülő Simmering,,,,
TH0035,0,M16276,2020.12.14.,,2021.03.16.,SCHUNK HOFFMANN CARBON TECHNOLOGY KFT.,Klopp (III.),Főmotor,HPB VM132L,,Főmotor hangos,"Főmotor tisztítása, bontása, csapágyak cseréje, összeépítés, járatás (szíjtárcsa nélkül!)",Jeladó cseréje,"Schmiedmeiszter P., Rákosréti J.",6 + 2 óra,-,"Csapágyak:
- 2 db SKF 6309 2RSH C3","Jeladó:
1 db Tamagawa TTL 1024",Gördülő Simmering,,,,
TH0036,0,M14327,2021.01.18.,,2021.01.22.,AXICONT KFT.,MM-760,"Főorsó 
Főmotor","CELLS 8.000 RPM 
HPB VM100S 8.000 RPM","- 
14052610E",Főorsó és főmotor felújítás,"Főorsó: bontás, alkatrészek tisztítása, csapágyak cseréje, rugóköteg cseréje, szíjtárcsa cseréje, összeépítés
Főmotor: vegyszeres tisztítás Taksonyban, motor bontása, csapágyak cseréje, szíjtárcsa cseréje (és beperselyezése!), motor egyensúlyozása",Jeladó cseréje,"Schmiedmeiszter P., Rákosréti J.",6 + 2 óra,-,"Csapágyak:
- 1 db SKF 6306 ZZ C3 (főmotor)
- 1 db SKF 6307 ZZ C3 (főmotor)
- 4 db NSK 7012CTRSULP3 (főorsó)
Szíjtárcsák:
- 68-68 fogas 5GT szíjtárcsák
Szíj:
- 1 db 675-5GT-30
Tányérrugók:
- 56 db 34.00 x 16.3 x 2 mm
","Jeladó:
1 db Tamagawa TTL 1024",Gördülő Simmering,"100261781 - Főhajtás szorítógyűrűs (5,73kW-8.000RPM)",,,
TH0037,0,M20077,2021.01.20.,,2021.03.16.,NCT Taksony (FINMECH KFT.),Euroturn-12C,Főmotor,HPB VM100L 8.000 RPM,15092411G,Csapágyazás,"Motor tisztítása, bontása, csapágyak cseréje, jeladó cseréje, építés, festés, járatás",Jeladó cseréje,"Schmiedmeiszter P., Rákosréti J.",6 + 2 óra,-,"Csapágyak:
- 1 db SKF 6207 ZZ C3
- 1 db SKF 6308 ZZ C3","Jeladó:
- 1 db Tamagawa SIN",-,,,,
