SZÉV igény szám,Státusz,Felelős,Igény dátuma,"KÓDOK: 
ÁA (csak árajánlat kérés)
R (rendelés)
PÜ (utalásra vár)
GY (gyártás alatt)
U (úton van)",Gépállás,Teljesítés dátuma,Áttárolás / Betárolás száma,Munkaszám,Megrendelő,Géptípus,Beszállító,Igény,Megjegyzés,Mennyiség,Igénylő,IMP megjegyzés,GYE megjegyzés,SZÉV megjegyzés
SZÉV2025-155,TRUE,IMP,04.25.,U,,2025.06.27.,BET2025/02116,M23104/M24084,Vág-Tech,KAFO-NCT RV2622,KAFO,Nyomásmérő óra,email,1 db,PI,Utalásra vár,,
SZÉV2025-156,TRUE,ERA,04.28.,R,,"2025.05.26.
2025.06.17.","2025/000000668
2025/000000771",,Szerviz Raktár,,,"Segédérintkező / Schneider GV-AE11 homlok segédérintkező (motorvédőhöz; 1NO; 1NC), 20-00001513-00
Motorvédő / Schneider GV2-ME05AP motorvédő (0.63-1A), 20-00002505-10",Csatolt email,"5 db/
2 db",AL,,,
SZÉV2025-157,FALSE,GYE,04.30.,R,,"2025.10.17.
2026.04.09.","2025/000001394
2026/000000442",,Szerviz Raktár,,," Levegő szelep / Airtac 4V11006BI DC24V, 10-00026770-00
Pneumatika / Digitális nyomáskapcsoló 2 m-es kábellel R1/8 (SMC - ISE20A-T-01-J), 10-00016327-00",Csatolt email/fotó,"3 db
3 db",AL,,"Nyomáskapcsolót küldünk készletről . SMC 

4db 4V11006BG - Díjbekérő iramko 
Importtól kérdezni (GSA)",
SZÉV2025-158,FALSE,ERA,04.30.,R,,,,,TEVILL,GOLDEN SUN KÖRASZTAL CNC51R,,ÚJ KÁBELEZÉS,email,1db,ZSP,,ERA,
SZÉV2025-159,TRUE,ERA,05.05.,R,,2025.05.26.,2025/000000668,,Szerviz Raktár,,,"20-00001062-00 Kábelvédelem / Gégecső Pg 13 (1.510.1301.14)
 20-00001063-00 Kábelvédelem / Gégecső Pg 16 (1.510.1601.14)
 20-00001060-00 Kábelvédelem / Gégecső Pg 9 (1.510.0901.14)
",Csatolt email,"20 m
20 m
20 m",AL,,,
SZÉV2025-160,TRUE,GYE,05.05.,R,,2025.10.17.,2025/000001399,,Szerviz Raktár,,,"10-00016826-00  Kenés / Csőszár 90° 4 mm rövid h=14 I=303 (F-1-3-2)
10-00016827-00 Kenés / Csőszár 90° 6mm rövid (F-1-5-3)
10-00016828-00 Kenés / Csőszár 45° 6mm rövid (F-1-3-6)",Csatolt email,"5 db
5 db
5 db",AL,,Rendelésre vár,
SZÉV2025-161,TRUE,GYE,05.05.,R,,2025.05.22.,BET2025/01660,M06184,Gyánti-Form,Kondia A6,,"T7014SCTSULP3 2db
60BNRIOHTYNDUELP3 2db",email,2-2 db,PI,,,
SZÉV2025-162,TRUE,GYE,05.05.,R,,2025.05.07.,2025/000000597,,SZÉV,,,"MOTORVÉDŐ 0,-0,63A",email,2db,ZSP,,,
SZÉV2025-163,TRUE,IMP,05.08.,PÜ,,2025.08.29.,BET2025/02785,M15268,MST,EmR-1304B,Manford,Szerszám váltó kar,email,1 db,PI,"PI itt, utalásra vár",,
SZÉV2025-164,TRUE,GYE,05.08.,R,,2025.05.08.,Nincs,,PI Dental,K-A6,,Nyomásgomba,email,1 db,PI,,,
SZÉV2025-165,TRUE,GYE,05.09.,R,,2025.05.21.,,,Szerviz Raktár,,,"KLUBER, ISOFLEX NBU 15 (fehér zsér) Smiciéknek, főorsókhoz.",Csatolt email/fotó,1 kg,AL,,,
SZÉV2025-166,TRUE,GYE,,ÁA,,,,M15265,IC pest,MM760/3 orsós,,"SLOVTOS_Főorsó csapágyak, főorsó ár",email,,ZSP,,,
SZÉV2025-167,TRUE,GYE,05.12.,PÜ,,2025.05.26.,BET2025/01686,M22204,Brunnbauer,F-Turn-18,,"NN3020MBKRE44CC1P4 1db
NN3018MBKRE44CC1P4 1 db
100BAR10ETYNDBLP4A 1 db",email,,,,Utalásra Vár,
SZÉV2025-168,FALSE,EGY,05.13.,R,,,,M13128,Ples,EmB-1105,,Esis kártya,email,,,,,
SZÉV2025-169,TRUE,GYE,05.13.,R,,2025.05.15.,2025/000000623,,Szerviz Raktár,,,"Tartalék / HTL-92 / L-0404-00079 Z tengely csapágy (NSK) 35TAC72CSUHPN7C, 10-00033224-00",Csatolt email,12 db,AL,,,
SZÉV2025-170,TRUE,ERA,05.14.,R,,2025.05.26.,2025/000000668,,Szerviz Raktár,,,"Kapcsoló / Omron E2E S05S12-WC-B1 2m OMS (5mm-es, PNP/NO-s induktív érzékelő), 20-00000018-00
Kapcsoló / Omron E2E-C04S12-WC-B1 2m OMS (4mm-es, PNP/NO-s induktív érzékelő), 20-00002214-00
Kapcsoló / Omron E2A-S08KS02-WP-B1 5M (8mm-es, PNP/NO-s induktív érzékelő, 5m), 20-00001208-00
Kapcsoló / Omron E2A-S08LS02-WP-B1 5M (8mm-es, PNP/NO-s induktív,hosszú érzékelő, 5m), 20-10001200-00
Kapcsoló / Omron E2A-S08KS02-WP-B2 5M (8mm-es, PNP/NC-s induktív érzékelő, 5m), 20-00001212-00",Csatolt email,"2 db
2 db
3 db
3 db
3 db",AL,,,
SZÉV2025-171,TRUE,GYE,05.14.,R,,2025.07.07.,BET2025/02186 ,,Szerviz Raktár,,,"Tányérrugó / S4305 31,5x16,3x2 mm, 10-00002545-00",Csatolt email,200 db,AL,,Rendelésre Vár,
SZÉV2025-172,FALSE,LOG,05.15.,R,,"2025.10.02.
2025.10.31.
2026.02.02.
2026.05.27.
2026.06.29.
2026.07-13.","2025/000001314
2025/000001457
BET2026/00319
Visszárú:2026/000000142
BET2026/02381
2026/000000904
2026/000000909",,Szerviz Raktár,,,"DSC-20/40-RE szinkron szervohajtás tengelymodul    40-00005637-00
DAC-20/40-LT aszinkron szervohajtás tengelymodul   40-00005900-10
DAC-20/40-LE aszinkron szervohajtás tengelymodul   40-00005900-00
DAC-20/40-RT aszinkron szervohajtás tengelymodul   40-00005906-00
DAC-60/120-RT aszinkron szervohajtás tengelymodul 40-00005908-00
PRC-3-40-80-R 3 fázisú főtápegység modul                    40-00005642-00
DA-120/150EE aszinkron szervohajtás                           40-00010393-00
DPB-3-40-160 hálózati visszatáplálású tápegység         40-00000649-00
DSC-10/20-LE szinkron szervohajtás tengelymodul      40-00005634-00
DSC-20/40-LE szinkron szervohajtás tengelymodul:,    40-00005635-00
DAC-10/20-LT aszinkron szervóhajtás tengelymodul:, 40-00010639-00
DAC-10/20-RE aszinkron szervóhajtás tengelymodul:, 40-00005903-00
DSC-60/120-RE szinkron szervohajtás tengelymodul:, 40-00010696-00
DAC-60/120-LT  aszinkron szervohajtás tengelymodul:, 40-00005907-00
DAC-60/120-LE aszinkron szervohajtás tengelymodul:, 40-00012044-00
DSC-40/80-RE szinkron szervohajtás tengelymodul:, 40-00010694-00  
PDC-3-40-24-R 3 fázisú főtápegység modul:, 40-00005638-00",Csatolt email,"2 db
2 db
2 db
2 db/1 db-ot kaptunk
2 db/2 db-ot kaptunk
2 db/ 1db-ot kaptunk
1 db
1 db
3 db/ 1 db-ot kaptunk
2 db/1 db-ot kaptunk
2 db/1 db-ot kaptunk
2 db
2 db
2 db
2 db
2 db/ 1 db-ot kaptunk
2 db",AL,,,
SZÉV2025-173,TRUE,GYE,05.15.,R,,2025.05.19.,Nincs,M23167,MSK,KAFO KAFO RV-4122,,Lemez szerű alkatrész,Csatolt email,1 db,,,Teljesítve,
SZÉV2025-174,TRUE,GYE,,R,,2025.05.16.,2025/000000630,,LOKO TRANS,,,10-00000095-00 TNL-100 Olaj törlő gumi,,1 db/25 db érkezett,ZSP,,,
SZÉV2025-175,TRUE,ERA,05.16.,R,,2025.05.26.,2025/000000668,,Szerviz Raktár,,,"Csatlakozó / Harting  Cat5E RJ-45 (09 45 151 1100), 20-00004322-00",Csatolt email,20 db/10 db érkezett,AL,,,
SZÉV2025-176,TRUE,IMP,05.19.,R,,2025.05.20.,BET2025/02706,M22073,Keleti finomacél,MA-1740,,Rajzon jelölt fogaskerék,Csatolt email,,PI,,,
SZÉV2025-177,TRUE,ERA,05.20.,R,,2025.05.26.,2025/000000668,,Szerviz Raktár,,,"Relé / Biztonsági vészkör relé PSR-SPP- 24DC/SDC4/2X1/B - 2981499, 20-00009549-00",Csatolt email,2 db,AL,,,
SZÉV2025-178,FALSE,EGY,05.20,R,,,,M16240,NC gép,?,,EPU-SIS,Csatolt email,1 db,PI,,,
SZÉV2025-179,TRUE,GYE,05.20.,R,,,,M20179,Amazone,HT-92 Y,,HPB VM180S-54-40-10-04 főmotor ventillátor,email,2 db,PI,,Import. Típust várjuk,
SZÉV2025-180,TRUE,GYE,05.21.,R,,2025.05.23.,Nincs,M17203,Doroti Pack,MM-800S,,Tár forgató motor,email,1 db,PI,,,
SZÉV2025-181,TRUE,GYE,05.21.,R,,2025.05.22.,2025/000000665,M18243,Petrus KFT,MXS-650DD,,SKF S7208 CDGA,mail,2 db,PI,,,
SZÉV2025-182,TRUE,ERA,05.22.,R,,2025.05.26.,2025/000000668,,Szerviz Raktár,,,"Kábelvédelem / Anya Pg 9 fekete (1.262.0901.11),  20-00001068-00",Csatolt email,30 db,AL,,,
SZÉV2025-183,TRUE,ERA,05.22.,R,,"2025.05.26.
2025.06.17.
2026.03.10.","2025/000000668
2025/000000771
2026/000000076",,Szerviz Raktár,SZÉV hajtás és motor járatópad /Reskó Gábor és Ignác,,"- Schneider A9F04325 kismegszakító
- Schneider LC1D25BD mágneskapcsoló
- OMRON G9SA-321-T075 AC/DC24",Csatilt email,"2 db/megkaptuk 2 db/1 db érkezett
2 db/ megkaptuk",AL,,,
SZÉV2025-184,TRUE,IMP,05.22.,ÁA,,07.16 nem érkezett megrendelés,,M13128,MVM NUKA,"EmB1105B 
130043",eBay, I-TA AEV550 tárforgató motor fékes,Csatolt email,1 db,ZSP,ÜF válaszára vár,,
SZÉV2025-185,TRUE,IMP,05.23.,U,,2025.08.08.,BET2025/02612,,Szerviz Raktár,VMC-1688 ,KAFO,"Tartalék / VMC-1688 / ISO50 (DIN50) betét cserélőkarba, 10-00033147-00",Csatolt email,2 db,AL,PI250610-2 PI utalásva: 06.24.,,
SZÉV2025-186,TRUE,GYE,05.23.,R,,2025.05.26.,2025/000000679,,Szerviz Raktár,,,"Szíj / 5M/750/15 mm, 10-00001315-00",Csatolt email,3 db,AL,,,
SZÉV2025-187,TRUE,GYE,05.23.,R,,2025.06.27.,Erika kikülde Attinak.,,Szerviz Raktár,,,"Wago sorkapocshoz ferde csavar húzó
Lapos fejű csavarhúzó 3,5 mm x x170 mm",Csatolt email/fotó,"1 db
1 db",AL,,,
SZÉV2025-188,TRUE,GYE,05.23.,R,,2025.06.24.,2025/000000824,M23143,Aptiv,MXS-650DD,,DEUBLIN 1114-020-188,email,1 db,PI,,,
SZÉV2025-189,TRUE,ERA,05.23.,R,,2025.06.17.,2025/000000771,,Szerviz Raktár,,,"Relé / Omron MKS3PI-5 DC24 (3 érintkezős relé, 20-00000880-00",Csatolt email,2 db,AL,,,
SZÉV2025-190,TRUE,GYE,,R,,,,,LOKO TRANS,,,Olajtörlő,email/fotó,1 készlet,ZSP,,,
SZÉV2025-191,TRUE,LOG,05.27.,R,,"2025.07.18.
2026.02.12.",,,Szerviz Raktár,,,"Csomagoló pukis fólia
NCT-s ragsztó szalag",Csatolt email,"1 tekercs/ezt megkaptuk
1 karton/megkaptuk",AL,,,
SZÉV2025-192,TRUE,IMP,05.28.,ÁA,,nem történt megrendelés,,M14320,Metál-CNC 2000 kft,MM-760,Microcut / Buffalo,X tengely mozgóburkolat ÁA,email,1 szett,PI,"PI  22A2-NCT2025001 /
 ÜF rendelésére vár",,SZÉVre vár
SZÉV2025-193,TRUE,ERA,05.28.,R,,2025.06.17.,2025/000000771,,Szerviz Raktár,,,"Kapcsoló / Balluff BNS 819-B02-L12-61-12-10 kapcsoló (2 kapcsolós; közepes talpas), 20-00002611-00",Csatolt email,5 db,AL,,,
SZÉV2025-194,TRUE,IMP,05.28.,U,,2025.07.28.,BET2025/02706,M22073,Keleti finomacél,MA-1740,Mascut /Iron Flowers,SZÉV2025-176,Csatolt email,1 db,PI,https://www.tnt.com/express/hu_hu/site/shipping-tools/tracking.html?searchType=CON&cons=208770699,,
SZÉV2025-195,FALSE,ERA,05.28.,ÁA,,,,,SZIMIKRON,,,Mágneskapcsoló ,email/fotó,4db,ZSP,,,
SZÉV2025-196,TRUE,GYE,05.28.,ÁA,,2025.06.24.,2025/000000824,M14240,Spiller 2000 kft,Smart-30,,"2db  7018A5TRDULP
1db 1012BKR (NSK)",email,,PI,,,
SZÉV2025-197,TRUE,IMP,05.29.,R,,2025.06.03.,,M13071,Top holding,EmL-1020B,,Kaukan KO-4PTS,Email,1 db,PI,,,
SZÉV2025-198,TRUE,GYE,,R,,,,,"Metál-CNC 2000 kft
SZÉV raktár",EmL-1020B,,"Főorsó szíj 5GT-870-30
10-00027259-00",email,"1db Metál CNC
4 db SZÉV raktár",ZSP,,Import,
SZÉV2025-199,TRUE,GYE,07.08.,R,,2025.06.04.,,,Szerviz Raktár,,,Nyári szélvédőmosó folyadék,Csatolt email/Megvettem,"30 liter, 5liter/kanna",AL,,,
SZÉV2025-200,TRUE,GYE,06.05.,ÁA,,,,M23002,Ecomatic,NEF-400,,Rexroth ZDRHD 6 DP1-42/200-100YK14 SO23,email,1 db,PI,,,
SZÉV2025-201,TRUE,GYE,06.05.,R,,2025.07.25.,BET2025/02485,,Szerviz Raktár,,,"Főorsó menesztődió 1. (Kondia B640, HM1060),00-10037693-00
Főorsó menesztődió 2. (Kondia B640 , HM 1060),00-10037694-00",Csatolt email,"2 db/5 db érkezett
2 db/ 5 db érkezett",AL,,,
SZÉV2025-202,TRUE,IMP,06.06.,ÁA,,,,M23104,Vág-Tech,KAFO-NCT RV-2622,KAFO,Tartományváltó egység,email,1 db,PI,,,
SZÉV2025-203,TRUE,GYE,06.10.,ÁA,,,,M21166,Premium parts,MM-850,,7012 CTRSULP3 NSK,mail,4 db,PI,,,
SZÉV2025-204,TRUE,IMP,06.10.,ÁA,,,,M11269,Technoplast,MM-760,Microcut/Buffalo,X golyósorsó rajz és ajánlat,email,1 db,PI,0625 ÁA itt,,
SZÉV2025-205,FALSE,LOG,06.12.,R,,2025.06.12.,2025/000000739,,Szerviz Raktár,,,"YAXLEY SZERELT PANEL (NCT 101 102 104 2000),  40-10001671-00",Csatolt email,5 db,AL,,,
SZÉV2025-206,TRUE,GYE,06.12.,R,,2025.06.13.,Még nincs,M09041,Borela,JCL-60AHD,,SKF KMT 10 anya,email,1 db/ 2 db érkezett,PI,,,
SZÉV2025-207,TRUE,IMP,06.12.,R,,,,M07115,Tevill,GSA 251R,GSA,Golden Sun CNC-251R rajz,,,,,,
SZÉV2025-208,TRUE,GYE,06.16.,R,,2025.06.23.,BET2025/02059,,Szerviz Raktár,,,"KN/SN25 40 x 50 x 06/07 AU92 (TTU) (4016930090),10-40500692-00
Tömítés / O-gyűrű 89,2x5,7 NBR 70,10-08925770-00
O 40 x 3 NBR70 (4016930090),10-00403070-00
KN/SN25 14 x 22 x 05/06 AU92 MA25 (4016930090),10-25142205-00
Tömítés / O-gyűrű 14x2,5 NBR 90,10-00004296-01
Tömítés / O-gyűrű 60x3,0 NBR 70,10-00005290-00
Tömítés / O-gyűrű 95x3,0 NBR 70,10-00005221-00",Csatolt email,"1 db
1 db
2 db
2 db
1 db
1 db
1 db",AL,,,
SZÉV2025-209,TRUE,GYE,06.16.,PÜ,,2025.06.24.,"SZÉV2025-196
2025/000000824",M14240,Spiller 2000 Kft.,Smart-30,,"Smici Peti által összeírt csapágyak: 
2db  7018A5TRDULP
1db 1012BKR (NSK)",Csatolt fotó/email,2 db és  1 db,SP/AL,,,
SZÉV2025-210,TRUE,GYE,06.16.,ÁA,,2025.07.10.,BET2025/02705,M23104,Vág-Tech Kft.,KAFO-NCT-RV-2622,,"Smici Peti által összeírt csapágyak
10-00016989-00, Csapágy /  N1014BTKRCC1P4 NSK",Csatolt fotó/email,"1-1 db
1 db érkezett",SP/AL,,,
SZÉV2025-211,TRUE,ERA,,R,,2025.08.11.,2025/000001020,,Szerviz Raktár,,,"Csatlakozó/  Cat5E RJ-45 FTP EXW 50 8/8 (UTP), 20-00003581-00",Csatolt email,10 db,AL,,,
SZÉV2025-212,TRUE,IMP,06.16.,PÜ,,2025.09.29.,BET2025/03164,,Szerviz Raktár,,"SUZHOU BAOMA NUMERICAL CONTROL EQUIPMENT CO., LTD.","Tartalék / DB703 / Érzékelő kefe, 10-00009633-00",Csatolt email,10 db,AL,"Megrendelve, Proformára várunk",,
SZÉV2025-213,FALSE,LOG,,R,,2025.06.16.,2025/000000198,,Szerviz Raktár,,,"10-00033628-00, AH-M12-0503FM/MFZ01112",Csatolt email,20 db/ 5 db-ot kaptam,AL,,,
SZÉV2025-214,TRUE,IMP,06.17.,U,,2025.07.08.,BET2025/02243,M23104,Vág-Tech,RV-2622,KAFO,Rajzon jelölt alkatrészek,,,PI,https://www.tnt.com/express/hu_hu/site/shipping-tools/tracking.html?searchType=con&cons=196432475,,
SZÉV2025-215,TRUE,GYE,06.17.,R,,2025.07.03.,,M09150,Amsy,MM-800,,"Csapágy
7012 SUMP4 (1 pár)
7010 SUMP4 (1 pár)",mail,,PI,,,
SZÉV2025-216,TRUE,IMP,06.17.,PÜ,,2025.08.29.,BET2025/02785,,Szerviz Raktár,,Manford,"Tartalék / VL-510 / Hinaka szelep HNS523S-3BE, 10-00027030-00",Csatolt email,5 db,AL,"SZR2025/01453 Megrendelve, PI: PI-2101-2506037",,
SZÉV2025-217,TRUE,EGY,06.19.,R,,2025.06.20.,2025/000000804,,SCHUNK,KLOPP IV M24050,,IPS02 ,,1db,ZSP,,,
SZÉV2025-218,TRUE,ERA,06.20.,R,,2025.09.29.,2025/000001269,,Szerviz Raktár,,,"Kábel narancs  4x1.5 (Topserv 109 PUR  UL/CSA Art.nr. 75943), 21-00075943-00
Relé / Omron G2R-1-SND DC24(S) (1 érintkezős relé), 20-00000876-00
Relé / Omron G2R-2-SND DC24(S) (2 érintkezős relé), 20-00000878-00",Csatolt email,"25 m
20 db
20 db",AL,,,
SZÉV2025-219,TRUE,IMP,06.20.,R,,2025.09.17.,2025/000001199,,Szerviz Raktár,,Manford,"Tartalék / iHDW-BDA6S-IM-C20 kézikerék / 3 méteres kábel / 20 pólusú csatlakozóval szerelve, 10-00033938-00",Csatolt email,5 db/20 db érkezett,AL,beérkezett 2025.09.17.,,
SZÉV2025-220,TRUE,IMP,06.20.,U,,2026.03.27.,BET2026/01336,,Szerviz Raktár,,Microcut Buffalo,"Tartalék / MM-430 / Olajzócső (kenőcső) Y tengelyre / diam:6* 3500mm, 10-00009629-00",Csatolt email,5-5-5 db,AL,https://www.tnt.com/express/hu_hu/site/shipping-tools/tracking.html?searchType=CON&cons=367140949,,"Ignác plusszolja fel
Ignác felplusszolta."
SZÉV2025-221,TRUE,LOG,06.24.,R,,2025.06.27.,"2025/000000851
2025/000000849",,Szerviz Raktár,,,"TDR-240-24,20-00005268-00
PS segédnyák doboz öá.,30-70071915-01",Csatolt email,"2 db
1 db",AL,,,
SZÉV2025-222,TRUE,IMP,06.24.,ÁA,,,,,Hajdu Autot.,,Kaukan,KAUKAN KO-4PTS kompresszor MODEL: 35D042-C6-AJJA,,1 db,ZSP,"ÜFre várunk, készletről kiszolgálható",,
SZÉV2025-223,TRUE,GYE,06.24.,ÁA,,2025.06.27.,BET2025/02104,,Plasma-Tech,KAFO NCT SV-1000 M24132,,Levegőpisztoly,,1 db,ZSP,,,
SZÉV2025-224,TRUE,ERA,06.25.,R,,2025.08.06.,2025/000000990,,Szerviz Raktár,,,"Kábel TTL 10x0.14+2x0.5 (TOPFLEX-PUR Art.nr. 22849):, 21-00022849-00",Csatolt email,50 m/45 m érkezett,AL,,,
SZÉV2025-225,FALSE,EGY,06.25.,R,,,,,MAGYARMET KFT.,NCT HT92 NCT204 (17 292 084),,MK19,,1 db,ZSP,,,
