Beérkezés dátuma,Kiküldés dátuma,MEGRENDELŐ,Géptípus,Megnevezés,Bejelentett hiba,Elvégzett munka (szervizlapra írandó),Megjegyzés,Telephelyi Munkaidő,"Tervezési
 feladat",Beszerzett alkatrészek,Anyagktg. (nettó beszerzési árak!),"Mérési 
eredmények",Kész - 1
2019.12.12.,2019.12.19.,Albert Forgácsoló,TMV-510 (M06247),Munkahenger,Munkahenger felújítás,"Munkahenger szétbontása, tömítések gyártatása (Seal Ring)",,,-,"Tömítések (Seal Ring)
- 3 db K6 30x40x06 PU dugattyú tömítés 
- 1 db K17 80x65x5,5 NBR (lapos, loversenypálya keresztmetszetű)",6540,-,1
2019.12.04.,2019.12.12.,Petrus,TMV-850A (M07361;M18020),Baumüller DAF100 főmotor (Sn: 20736837),Motor csapágyas,"Tisztítás, szétbontás, átcsapágyazás, új jeladó beépítése, összeszerelés, festés, egyensúlyozás, járatás",,8 óra,,"Csapágyak: 
- 1 db SKF 6306 ZZ C3, 
- 1 db FAG 6209 ZZ C3 
Jeladó: 
- 1 db HDH ERN 1320 1024 (id: 385423-18)
Egyéb:
- 3 pár 38-as ringfeeder ",,-,1
2019.12.05.,2019.12.06.,Dr. Varga Tamás EV,SC-32 (M13271),VDI-20 Hajtott szerszám,Egység beázott,"Szétbontás, átvizsgálás, tisztítás, csapágycsere, tömítés csere, összeépítés",Az egyik alkatrészt át kellett munkálni és hornyot kellett bele esztergálni O-gyűrűnek,Smici: 4 óra,-,"Csapágy:
- 1 db SKF 61806 2RZ
O-gyűrű:
- 1 db 15x2",,-,
2019.11.29.,2019.12.04.,Petrus,TMV-850A (M07361;M18020),Főorsó 8.000 rpm,Főorsó megszorult,"Szétbontás, régi csapágyak lefűzése tisztítás, új csapágyak beépítése, tömítések cseréje, összeépítés",,Smici: 8 óra,-,"Csapágyak:
- 4 db NSK 70BNR10HTYNSUELP3
- 1 db NSK N1012BTKRCC1P4
Szíjak:
- 2 db 1000-5MGT-30",,"6,5kN",1
2019.11.29.,2019.11.30.,SL Manufacturing,Strigon MC-2100,EZG730-2-203,Csapágyazás,"Motor szétbontása, átcsapágyazás, összeépítés",Pincéből felhozott motor! ,Smici 4 óra,-,Csapágyak: 2 db SKF 6207 ZZ C3,,,
2019.10.25.,?,Frigo-Metal,KAFO CV7-A (M18098;P19003),"AiS100LW15-26H(D) átfúrt 15000 max
(SN: CC2-10-4028)",Motor zörög,11.11. motor kiküldve Taksonyba tesztelésre,"Ügyfél cseremotort kap:
AiS100-LW 26 H (D)
SN:CC2-10-5005",,-,,,,
2019.11.18.,2019.12.04.,Hajtás fejlesztés,,Tandem tesztpad,összeszerelés,Összeépítés,Minden alkatrész beérkezett,,-,,,,1
2019.11.12.,2019.11.28.,SGN Steel,EmR-1600/1604D (M16286),Royal 10.000 rpm direkt főorsó (249572),főorsó kattog,"Főorsó szétbontása, állapotfelmérés, takarítás, csapágyak lehúzása, tányérrugók cseréje,
Kúpköszörülés, újracsapágyazás, tömítések cseréje, összeépítés","A munkahenger meghibásodása miatt az orsó csapágyak is beáztak, az egyik csapágy szétesett
Eredeti csapágyak típusa: NTN HSE014CT2G/G3P4",Smici: 10 óra,-,"Csapágyak:
- 4 db FAG HS7014-C-T-P4S-UL
Munkahenger:
- felújítás Bétabagoly
Tányérrugók:
- 56 db 40.00 x 20.40 x 2.50
Menesztődiók:
- 1 db BT40-es
Kuplung kereszt
- 1 db GS38 zöld kuplung csillag",,-,1
2019.11.15.,2019.11.27.,Procam,Deckel DC100V (M14289),,Nagy mennyiségű hidraulika folyás,Nem volt telephelyi munka!,Bétabagolynak kiküldve javításra,-,,-,Bétabagoly,-,1
2019.11.01.,2019.11.20.,MVM Ovit,EPA-320 (M15253),EVIG EHL160 főmotor,szíjtárcsa csere,új szíjtárcsa felszerelése,"a félórás meló 8 órát igényelt, mert a reteszhorony ferdén lett vésve...",Smici: 8 óra,Akai Gábor,"1 db  Hosszbordás szíj PL 1841 Optibelt 12 borda
1 db új szíjtárcsa",,-,1
